horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_har,p_vs_har,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_har,block
1,har,0.2094735510394348,0.08362446341693242,0.002225411199011279,0,,,720,0.009,False,0.0,baseline
1,har_x__atm_ivar_30,0.19530049195903013,0.07971493995572587,0.002018717216608852,0,-3.2498745031157297,0.0011545594670712145,720,1.0,True,-0.01417305908040467,option
1,har_x__atm_iv_30,0.20437009133434927,0.06675133338786055,0.0019378737733201023,0,-0.7213552485060832,0.4706909728692348,720,0.3655,True,-0.005103459705085522,option
1,har_x__skew_25d_30,0.22061396957185156,0.07888955223982863,0.002196275206107721,0,3.371555955996445,0.0007474485317293666,720,0.0025,False,0.011140418532416763,option
1,har_x__term_slope_30_91,0.19878646040856573,0.09054704018000459,0.0021166458823758958,0,-1.8357005653288694,0.06640195430983953,720,0.543,True,-0.010687090630869062,option
1,har_x__vix_vol,0.20951038325678853,0.06676964228724624,0.0019426575249783227,0,0.004748273101654718,0.996211440437925,720,0.1595,True,3.6832217353732766e-05,option
1,har_x__spy_put_call,0.21534992568317154,0.08616444481901964,0.002216767828339156,0,3.4617806093588626,0.0005366143923286604,720,0.0035,False,0.005876374643736748,option
1,har_x__gdelt_tone_mkt,0.23721866275503223,0.08014113034005843,0.002198719483452424,0,4.513795257361768,6.367769380899446e-06,720,0.0,False,0.02774511171559743,news
1,har_x__gdelt_share_mkt,0.2112572773870544,0.08418874070502047,0.002242223382375183,0,1.3561851284498991,0.1750402725305722,720,0.009,False,0.001783726347619613,news
1,har_x__gdelt_tone_econ,0.22155049267934446,0.08096244648159867,0.0022074738268428955,0,3.995398735270931,6.458545932797044e-05,720,0.0,False,0.01207694163990966,news
1,har_x__gdelt_share_econ,0.21025852488830887,0.0842697912213658,0.0022234863723687966,0,2.1726865213998634,0.02980391891622225,720,0.0065,False,0.0007849738488740765,news
1,har_x__wiki_attention,0.21066337388712764,0.08379161321821527,0.002195848996051899,0,0.49336644733509194,0.6217536855999144,720,0.009,False,0.0011898228476928396,attention
1,har_x__epu_log,0.20616618741820786,0.0859072501600665,0.002227881805451225,0,-1.5447010030815822,0.1224186021486533,720,0.0065,False,-0.0033073636212269386,uncertainty
1,har_x__emv_overall,0.20969299461146626,0.08430370125792896,0.002235541328387179,0,0.3853709667755267,0.6999625897919688,720,0.009,False,0.00021944357203146359,uncertainty
1,har_x__is_fomc,0.20900530838095696,0.08354064110317971,0.0022196239551143288,0,-0.6387973945671591,0.5229547434436377,720,0.009,False,-0.0004682426584778354,calendar
1,har_x__is_cpi,0.21012635855318493,0.08465018801326096,0.0022356688594071315,0,0.5705298242555747,0.5683183997926209,720,0.009,False,0.000652807513750131,calendar
1,har_x__is_payrolls,0.2075910867048622,0.08156659692341184,0.002240744013313886,0,-1.1311832122255032,0.25797798630909496,720,0.02,False,-0.0018824643345725922,calendar
