family,horizon,model,qlike_delta,p_raw,holm_p,joint_holm_p
base,1,rich_x__is_payrolls,-0.0007921118482293,0.4719857459220065,1.0,1.0
base,5,rich_x__atm_iv_30,0.0018836684678627,0.800771966686,1.0,1.0
base,5,rich_x__skew_25d_30,0.0029891600522961,0.1135583306280247,1.0,1.0
base,5,rich_x__term_slope_30_91,-0.0019873736033435,0.797700486360571,1.0,1.0
base,5,rich_x__vix_vol,-0.0008516393786216,0.8844304222207142,1.0,1.0
base,5,rich_x__spy_put_call,0.0012733882920991,0.2266224792345776,1.0,1.0
base,5,rich_x__gdelt_tone_mkt,0.0237150762543885,0.0305999152387363,1.0,1.0
base,5,rich_x__gdelt_share_mkt,0.0017046508630525,0.124778786583106,1.0,1.0
base,5,rich_x__gdelt_tone_econ,0.0109158573523393,0.0638783653742882,1.0,1.0
base,5,rich_x__gdelt_share_econ,0.0016753521033112,0.0880035472765621,1.0,1.0
base,5,rich_x__wiki_attention,0.0003465619307785,0.7999311432616636,1.0,1.0
base,5,rich_x__epu_log,0.0029478935852075,0.0030589536221776,0.1315350057536368,0.2630700115072736
base,5,rich_x__emv_overall,0.0021048937846576,0.1111955224691085,1.0,1.0
base,5,rich_x__is_fomc,-0.001199444971909,0.2046467343135996,1.0,1.0
base,5,rich_x__is_cpi,-0.000402691894443,0.2200178456890595,1.0,1.0
base,5,rich_x__is_payrolls,5.294956103046866e-05,0.7359193243311497,1.0,1.0
base,21,rich_x__atm_iv_30,0.0013407855288976,0.9163464998204868,1.0,1.0
base,21,rich_x__skew_25d_30,0.0087992406333513,0.4483747346473072,1.0,1.0
base,21,rich_x__term_slope_30_91,0.0103327114520058,0.3036504903338022,1.0,1.0
base,21,rich_x__vix_vol,0.0006524840367788,0.9575218201514082,1.0,1.0
base,21,rich_x__spy_put_call,0.0062285931274655,0.3111361002075874,1.0,1.0
base,21,rich_x__gdelt_tone_mkt,0.067193567775993,0.1870091806865697,1.0,1.0
base,21,rich_x__gdelt_share_mkt,0.0069518981567921,0.1043535330406419,1.0,1.0
base,21,rich_x__gdelt_tone_econ,0.0178558994485915,0.4698779406475442,1.0,1.0
base,21,rich_x__gdelt_share_econ,0.0092508060377676,0.3925414270825356,1.0,1.0
base,21,rich_x__wiki_attention,-0.0007529290345064,0.4004487545228921,1.0,1.0
base,21,rich_x__epu_log,0.0169993359772058,0.0284559937128248,1.0,1.0
base,21,rich_x__emv_overall,-0.0003052091562082,0.9476110587333056,1.0,1.0
base,21,rich_x__is_fomc,0.0001819802858518,0.9247151769580222,1.0,1.0
base,21,rich_x__is_cpi,6.642432364978301e-06,0.916116829902053,1.0,1.0
base,21,rich_x__is_payrolls,-0.0003110139933379,0.2318870571110616,1.0,1.0
