date,persistence,har,shar,har_rv_iv,har_x_lasso,hgb,lstm,lstm_x,combination,buy_and_hold
2022-10-07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.027893834
2022-10-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0076353081
2022-10-11,-0.006404274425891699,-0.00636627865672478,-0.006288270060724795,-0.00606016674277763,-0.004770121240289869,-0.00581598859283985,-0.005597438037812233,-0.004831701314244202,-0.005607565570556277,-0.0063331632
2022-10-12,-0.0025181384913539385,-0.002739229528534765,-0.00271968280547344,-0.002635466490225845,-0.0021643106173728933,-0.0027965636680782027,-0.002664577492877546,-0.0023023098989568345,-0.0025523605188858016,-0.0032984819
2022-10-13,0.020753871076068114,0.02174410802310205,0.021715825381689157,0.02071295696046044,0.017064115908824697,0.022168948570309047,0.02103166221797989,0.018404110401899775,0.020238555377358698,0.026391016
2022-10-14,-0.019889748450448354,-0.019788237441432342,-0.01987640223014993,-0.01854451619790021,-0.014741023278614073,-0.019400114681886526,-0.018247217834894677,-0.015544036991671506,-0.017793597296603986,-0.022788635
2022-10-17,0.012618701810308766,0.016040310452855165,0.017150258006794726,0.016476715727719193,0.01531912278066042,0.016005974896180237,0.018493648714216795,0.016642135837577832,0.016542909485791967,0.025696946
2022-10-18,0.0058840947254381396,0.007037192522382598,0.006896204719254838,0.0073304349077053825,0.0071487147827668405,0.008113909034435337,0.007691495396346416,0.00787418816894815,0.007429694403487269,0.011749663
2022-10-19,-0.0064630575959245965,-0.005711447486220116,-0.005776272474337109,-0.005670365370066441,-0.004707684096410412,-0.0061093393355782545,-0.004750382079714052,-0.005185041831075157,-0.005371554755055668,-0.0070864563
2022-10-20,-0.006012187449316522,-0.006027178727763543,-0.00595363970022602,-0.006161710914359182,-0.005488683626503293,-0.00674465380979678,-0.00555232432785466,-0.006302143084975627,-0.006002397208969361,-0.0083854281
2022-10-21,0.020598260680431715,0.018725403114723694,0.01852735384940799,0.018843942672190413,0.01613340898440906,0.018930620786553536,0.01636870042663771,0.018209726231798506,0.017893019033696122,0.02430152
2022-10-24,0.009157813112231603,0.009394120500365293,0.009336525632725728,0.009500899667841066,0.008281641782441791,0.009535207952723645,0.008361414136515052,0.008856730458073347,0.009011838415089743,0.012236443
2022-10-25,0.011184899359938081,0.012305417090912072,0.01248128086890419,0.012397857553479257,0.010475969708162326,0.011215682201337843,0.011080654923147606,0.011159025090207374,0.011545141785721882,0.015968748
2022-10-26,-0.005117419829792671,-0.0055932730148781406,-0.005575382643927322,-0.005676764982204199,-0.0049424930883858135,-0.005907993507561901,-0.005239024062787096,-0.005308259401116777,-0.005437112866208743,-0.0075342701
2022-10-27,-0.006295788649137165,-0.0052405141706871085,-0.005357856502913125,-0.005121006443854584,-0.004295225338054791,-0.004581512782291872,-0.0040204432885934975,-0.00391828517306578,-0.004585102240932647,-0.0053399017
2022-10-28,0.021007805906531483,0.02071052820837439,0.020641098242751923,0.02091294411027225,0.019602759936855313,0.01850731910992693,0.01839627620335543,0.017880698588985642,0.019465570780524157,0.023790751
2022-10-31,-0.005819174647565884,-0.006060085432523517,-0.0059848510169200715,-0.006184766393003984,-0.005831224754929009,-0.005632134602726862,-0.005673088647800532,-0.00557181237466164,-0.005836734549409427,-0.0072235151
2022-11-01,-0.006282071015017063,-0.004968559227380105,-0.005217690449655664,-0.004828735674680002,-0.004159071964656059,-0.0033326104702014513,-0.003765926878860744,-0.0035475547647751834,-0.004149394021744769,-0.0043756564
2022-11-02,-0.025251779024756154,-0.025543337120126994,-0.025301387141911845,-0.025284976141078552,-0.020999688177281397,-0.018750635124811402,-0.02234051298408508,-0.021347438315561334,-0.022509426448014173,-0.025096224
2022-11-03,-0.00978138204816077,-0.010069890643321856,-0.009933396518511828,-0.010059436954034917,-0.009041345880168158,-0.008723738910702144,-0.009361705972317553,-0.009059198173998228,-0.009423305672902461,-0.010296852
2022-11-04,0.006778218613150206,0.009150022062824597,0.00903359392066236,0.009886062006492575,0.010082842800667798,0.008718257843302898,0.011425527495284013,0.01114411308844321,0.009833641718400166,0.014393027
2022-11-07,0.007659353143655907,0.008044545815423881,0.008085710918811492,0.008376131663449473,0.008203481067386425,0.00725771768561047,0.007589051966817782,0.007946227109987923,0.00791003830007473,0.0095655259
2022-11-08,0.002862181827572571,0.0034426699298847913,0.003425065538142583,0.0038013864306710747,0.0040332523805152,0.004405035970194814,0.0038848619893659146,0.0042396150758480175,0.0038709792548968784,0.0053954068
2022-11-09,-0.024733288770182583,-0.018984082500299683,-0.018929305614263446,-0.01986766892267775,-0.019914998891885402,-0.017981848664047194,-0.01626925350509817,-0.018729089450000607,-0.018595704878329452,-0.020602051
2022-11-10,0.04597521753424278,0.04369427599846258,0.04344110515815814,0.04632629048047113,0.047685528453821166,0.04954602746802725,0.0429402470232127,0.050105365516499,0.046092528849596026,0.054954325
2022-11-11,0.008676081019525654,0.008466197959144904,0.008403194339735786,0.008709110960329672,0.008404639450159051,0.007980484314722446,0.007699312744698954,0.008513026138445453,0.008313922964921647,0.0096784783
2022-11-14,-0.007173456045947862,-0.007283188131719931,-0.007445097306663969,-0.007766916068606609,-0.008705771979906496,-0.008514575395984655,-0.006842618500203482,-0.00735156674658688,-0.007647260508108828,-0.0085067867
2022-11-15,0.008491096033286103,0.008356369996102158,0.008387447107686727,0.008864405660732447,0.009248939523108946,0.00883537932270629,0.007105468044591951,0.008168411832994174,0.008370806858558535,0.0085290565
2022-11-16,-0.008403435940384963,-0.007747567431310473,-0.0076788970967309345,-0.008024404605626931,-0.008070869330568492,-0.007683786757566651,-0.006641188508417373,-0.007260642233448391,-0.007546849188908607,-0.0076287503
2022-11-17,-0.0023075768656850184,-0.0025571337051151256,-0.0025437839537243772,-0.0027327155795781478,-0.0029415287532431797,-0.003026803485488964,-0.0026131682107865236,-0.0027191402630980617,-0.002719629181774639,-0.0030598289
2022-11-18,0.005792943842020993,0.004865521605443804,0.00482224368497019,0.004959450882122148,0.004843858483944556,0.0039002992087729307,0.00405684096432235,0.003878717009189017,0.004439420765125835,0.0045404355
2022-11-21,-0.004254191498698862,-0.003899046366652823,-0.003962891287604289,-0.003970123963550462,-0.0037928400714770465,-0.0031696163370053265,-0.003397291510764666,-0.0031449188700141944,-0.003579232698448798,-0.0036361543
2022-11-22,0.01375049953657847,0.013722090534939294,0.013600233502781438,0.014202975382025715,0.014140360261201175,0.012836087265209548,0.012747902803030009,0.011853627679405145,0.013270516976932828,0.013457033
2022-11-23,0.00921736627393095,0.007547139141354846,0.0075417222965021785,0.00758477728924088,0.0073247328164146525,0.007154767628424615,0.006233546400492113,0.005948705205211136,0.006986474139152694,0.0063016301
2022-11-25,-0.0006408965088565018,-0.00045828719075080435,-0.0004757751471939291,-0.000424170419897757,-0.00037342747811432457,-0.00025860218224047263,-0.0002761465285186665,-0.0002780689228314777,-0.0003499216583686627,-0.0002237257
2022-11-28,-0.020176226712779775,-0.0197771606778954,-0.019990480580992332,-0.020149238543852446,-0.021098458281666517,-0.018253994063383152,-0.01751991614989089,-0.017068760755863322,-0.019003856262768085,-0.015956933
