horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_base,p_vs_base,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_base,block
1,har_rs_iv,0.19571862073710375,0.07922918836622339,0.0019852163418081882,0,,,726,0.9605,True,0.0,baseline
1,rich_x__atm_iv_30,0.20167046725480933,0.06684602868274903,0.0019061679758098466,0,1.2358907313270024,0.21649918274663937,726,0.731,True,0.0059518465177055835,option
1,rich_x__skew_25d_30,0.1956536802579642,0.0785534007031794,0.0019853150562142165,0,-0.3037723187828331,0.7613013571762386,726,0.9605,True,-6.494047913954692e-05,option
1,rich_x__term_slope_30_91,0.19198451353494045,0.09047723101138183,0.0019479130078983453,0,-1.0427200114514814,0.2970779868928606,726,1.0,True,-0.0037341072021633004,option
1,rich_x__vix_vol,0.20067745506537438,0.0717013558333428,0.0019001978676100543,0,1.1344097294749076,0.25662271975676765,726,0.6585,True,0.004958834328270628,option
1,rich_x__spy_put_call,0.20017658585423911,0.07451035210105572,0.0019811042238403512,0,3.0774821014603906,0.0020875737477989986,726,0.022,False,0.004457965117135365,option
1,rich_x__wiki_attention,0.19666104125784806,0.07915353402087266,0.0019416116071135265,0,0.321706416680351,0.747675116270798,726,0.9605,True,0.0009424205207443082,attention
1,rich_x__epu_log,0.1970952674167748,0.07791570068442566,0.001990252071556131,0,2.213521781634885,0.026861693243653173,726,0.3835,True,0.0013766466796710508,uncertainty
1,rich_x__emv_overall,0.19567945782961205,0.08005044826254637,0.0019893928651760332,0,-0.03934688145618861,0.9686138295375402,726,0.9605,True,-3.916290749170215e-05,uncertainty
1,rich_x__is_fomc,0.19549507239450795,0.08013886607781107,0.0019810072286608237,0,-0.34454989337656144,0.7304327807571651,726,0.9605,True,-0.00022354834259580292,calendar
1,rich_x__is_cpi,0.19630577660406642,0.0784578690458333,0.0019931420710303277,0,0.5142398366833518,0.6070843190832937,726,0.9605,True,0.0005871558669626742,calendar
