horizon,model,qlike_calm,qlike_stressed,n_calm,n_stressed,delta_calm_vs_har,delta_stressed_vs_har
1,persistence,0.2710542042182491,0.350078680095948,655,68,0.07892325715278303,-0.034194659524300675
1,har,0.19213094706546607,0.3842733396202487,655,68,0.0,0.0
1,shar,0.19353090454138203,0.37898069033865867,655,68,0.0013999574759159528,-0.005292649281590012
1,har_rv_iv,0.18028716096351194,0.35302447051429314,655,68,-0.011843786101954135,-0.031248869105955535
1,har_x_lasso,0.17332058662905536,0.3341599597984762,655,68,-0.01881036043641071,-0.0501133798217725
1,hgb,0.18254713957017937,0.2913399092355935,655,68,-0.0095838074952867,-0.09293343038465518
1,lstm,0.19547571567666291,0.4498082206190551,655,68,0.003344768611196841,0.06553488099880644
1,lstm_x,0.1851673144301056,0.26148004459600854,655,68,-0.006963632635360484,-0.12279329502424013
1,combination,0.17388564207130403,0.3221738802080489,655,68,-0.018245304994162048,-0.0620994594121998
5,persistence,0.32053538380269136,0.6515136516295416,655,68,0.16354953129268304,-0.04751959017459695
5,har,0.15698585251000832,0.6990332418041385,655,68,0.0,0.0
5,shar,0.15772536523348948,0.7017711186079155,655,68,0.0007395127234811616,0.0027378768037770174
5,har_rv_iv,0.14998967411702704,0.7159741431657473,655,68,-0.006996178392981278,0.01694090136160875
5,har_x_lasso,0.13984852632838132,0.6429296374330468,655,68,-0.017137326181627,-0.05610360437109174
5,hgb,0.1481908854175769,0.580107862218604,655,68,-0.00879496709243141,-0.11892537958553451
5,lstm,0.16470218386672758,0.9668601714589831,655,68,0.007716331356719258,0.26782692965484456
5,lstm_x,0.1617914988006027,1.0869059642056507,655,68,0.004805646290594379,0.38787272240151216
5,combination,0.14155487878272272,0.7083168640612653,655,68,-0.015430973727285607,0.009283622257126756
21,persistence,0.5911676579105445,0.47254029525067304,655,68,0.35915672134387944,0.09890638561858678
21,har,0.23201093656666508,0.37363390963208626,655,68,0.0,0.0
21,shar,0.23206617741435345,0.37433591101793323,655,68,5.5240847688375894e-05,0.0007020013858469731
21,har_rv_iv,0.23584242785856288,0.37538065830113704,655,68,0.003831491291897804,0.0017467486690507794
21,har_x_lasso,0.2321312734590478,0.38398049221898173,655,68,0.00012033689238272194,0.01034658258689547
21,hgb,0.20802873484308526,0.32735089250019356,655,68,-0.023982201723579816,-0.0462830171318927
21,lstm,0.22683807975523218,0.485306063648097,655,68,-0.0051728568114328966,0.11167215401601072
21,lstm_x,0.24621900245214817,0.5876957556325928,655,68,0.014208065885483095,0.21406184600050654
21,combination,0.21723950924117738,0.3666970534063736,655,68,-0.014771427325487696,-0.006936856225712662
