date,target,persistence,har,shar,har_rv_iv,har_x_lasso,hgb,lstm,lstm_x,combination
2022-10-13,0.21647272057088027,0.301046489396,0.23851773070274399,0.22379496893587336,0.24006670523553025,0.2502761286038051,0.2259141526071499,0.20493412017822266,0.19487471878528595,0.2254826464355159
2022-10-14,0.1950844238033227,0.299432320538,0.24982797752086294,0.25374526221259225,0.2473541666398017,0.2417442582160348,0.2313940795549065,0.22105123102664948,0.2141924649477005,0.23704420573122117
2022-10-17,0.20523650346433603,0.169466832096,0.1893706208673931,0.1875899500182609,0.18866774828189617,0.1980832398474281,0.18142969008190368,0.2188165783882141,0.2128269225358963,0.19668353571728464
2022-10-18,0.1912860651253263,0.212358224511,0.2101181088065301,0.21294145928772418,0.20788791078076835,0.21184092800216375,0.18906149682127907,0.22174812853336334,0.2071065753698349,0.2086720868002377
2022-10-19,0.18993279747077957,0.176343023448,0.19447847364032225,0.19649615078368582,0.19177148285235185,0.20298074794379065,0.19649978453868774,0.21942244470119476,0.20094503462314606,0.20037058844045416
2022-10-20,0.1875436507781998,0.199325348505,0.19538631397809936,0.19661146700257273,0.19446765204489666,0.2103759974384323,0.19913810687999828,0.21739576756954193,0.19551296532154083,0.201269752890726
2022-10-21,0.168640705238473,0.213652013516,0.19470600481671763,0.1919480183637105,0.19482190171012387,0.21139842313234247,0.19913810687999828,0.21481283009052277,0.19071544706821442,0.1996486760088043
2022-10-24,0.1521286574806186,0.221448542328,0.20270808075523322,0.20362786466274793,0.20147617200742152,0.21415236379378835,0.19913810687999828,0.2145744115114212,0.18702156841754913,0.20324265257545138
2022-10-25,0.15706278648574834,0.132051873527,0.15628487902439536,0.15324330303482703,0.15760620905984782,0.17491056240106373,0.1917522519870975,0.20284341275691986,0.18334104120731354,0.17428309421020924
2022-10-26,0.19479577205483434,0.168870974825,0.17203719284542152,0.17253595911099381,0.17154240292761563,0.1794680484627004,0.18965222511424584,0.19739998877048492,0.1839538961648941,0.18094138762805093
2022-10-27,0.1939823177385933,0.187673550394,0.17944282061244896,0.18175109695666203,0.17809206262782507,0.18825813465334357,0.19913810687999828,0.19460934400558472,0.18211905658245087,0.1862015174740448
2022-10-28,0.2232544773200735,0.109464676769,0.1359203468778068,0.1302018922747979,0.1367966370715859,0.1533675054702073,0.1866920308886623,0.18207845091819763,0.1815677434206009,0.15808922956026553
2022-10-31,0.2203052910953093,0.150188753629,0.14771888685655518,0.14927220884111297,0.14833790453062842,0.1594823408768007,0.1872867060093724,0.17565475404262543,0.18064497411251068,0.1640568250385151
2022-11-01,0.2233873999037896,0.158321349353,0.15376993740828654,0.15576367984114867,0.153801833299485,0.1620259962098882,0.1830015861488794,0.17216342687606812,0.17631064355373383,0.1652624433339271
2022-11-02,0.1910187889415793,0.308059695022,0.23173381252510772,0.23461830504723222,0.22748681672909848,0.22501770010515929,0.26130140454598894,0.18934346735477448,0.1734388917684555,0.22042005686797378
2022-11-03,0.1901104530224396,0.183412364473,0.1762348474111261,0.1752685386410806,0.17341627433093085,0.1774624397492714,0.19185356474698703,0.19006389379501343,0.17343299090862274,0.1796760785118617
