date,target,persistence,har,shar,har_rv_iv,har_x_lasso,hgb,lstm,lstm_x,combination
2022-10-07,0.20481813891738201,0.16004537155,0.16009514969123645,0.16592497053216226,0.1634215669914863,0.18331466220764076,0.16564229389817764,0.1770934909582138,0.2097894847393036,0.17504023128831725
2022-10-10,0.19048736478352574,0.204818138917,0.18593158284466083,0.18786132944337336,0.1890160522305364,0.21371765849122798,0.17801837387439456,0.1888333112001419,0.2312767207622528,0.19637928983522682
2022-10-11,0.1722052435082161,0.190487364783,0.18270514954659772,0.1823402855321518,0.1871120925915392,0.20375938942382746,0.17801837387439456,0.19105157256126404,0.23685668408870697,0.19454907823121165
2022-10-12,0.3010464893965117,0.172205243508,0.1728239490299825,0.17024132160520702,0.1791085069087076,0.2000629810261002,0.18506795401789186,0.1848118156194687,0.23931679129600525,0.1902047599290519
2022-10-13,0.29943232053816765,0.301046489396,0.24504929924667074,0.2114466297849517,0.24718468566658564,0.25796530528459094,0.22722859155164282,0.2321874350309372,0.2734004855155945,0.24206606172585338
2022-10-14,0.16946683209678523,0.299432320538,0.2563854307493244,0.2710605260802188,0.25297508277455555,0.2446652516059701,0.23845018365730192,0.2600591480731964,0.2746097445487976,0.25688648106990924
2022-10-17,0.21235822451122538,0.169466832096,0.1893834973367637,0.18487607831872577,0.18841453074484626,0.19599712743934067,0.17801837387439456,0.2213459312915802,0.21274225413799286,0.19582539902052057
2022-10-18,0.17634302344767713,0.212358224511,0.21234223115719697,0.22153556465275315,0.2092677231668258,0.21635763111423137,0.17704720839030452,0.2166607826948166,0.20108731091022491,0.2077569217266219
2022-10-19,0.19932534850533187,0.176343023448,0.19494484184048058,0.20093948295399222,0.19121303654277227,0.20187083645175097,0.17801837387439456,0.20281849801540375,0.19850197434425354,0.1954724348604354
2022-10-20,0.21365201351602564,0.199325348505,0.19716816864714592,0.19982101208829187,0.19590171902184106,0.20683615218394918,0.18419868183753293,0.20285238325595856,0.2138914167881012,0.2000956476889744
2022-10-21,0.22144854232728647,0.213652013516,0.19694015222444594,0.18892504929204149,0.19709992544669813,0.20798439563939897,0.18419868183753293,0.20627303421497345,0.2274097353219986,0.20126156771101278
2022-10-24,0.13205187352658349,0.221448542328,0.20533488935366517,0.20668276959185722,0.20363660371050496,0.21355408160058742,0.20092761884872973,0.21310009062290192,0.2344195693731308,0.21109366044305386
2022-10-25,0.16887097482514868,0.132051873527,0.1543712290990789,0.14731564257257068,0.1561927892049481,0.17429141394248887,0.15120137554977012,0.18051482737064362,0.20851778984069824,0.16748643822574263
2022-10-26,0.18767355039394337,0.168870974825,0.17189586908220839,0.172531078981347,0.17121376124322857,0.17599586669081577,0.17801837387439456,0.17742794752120972,0.20452231168746948,0.17880074415438194
2022-10-27,0.10946467676845714,0.187673550394,0.18018146395849433,0.18727358254081078,0.17831933504939645,0.17735628034643408,0.18419868183753293,0.18355077505111694,0.20282873511314392,0.1848155505567042
2022-10-28,0.15018875362858966,0.109464676769,0.13265161912028858,0.12072288382300742,0.1338596558827359,0.14189980617696177,0.15217254103386016,0.15546555817127228,0.18276306986808777,0.145647876296602
2022-10-31,0.1583213493529625,0.150188753629,0.14645996159205232,0.15060683698246186,0.14731332742016923,0.15088894111484133,0.1823712309093744,0.15452806651592255,0.18128351867198944,0.15906455474383016
