horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_har,p_vs_har,n_obs,mcs_pvalue,in_mcs
1,persistence,0.2772459610079274,0.10418964985451473,0.0025662497676279704,0,5.45969212877808,4.769609396326757e-08,723,0.0,False
1,har,0.20891503639641296,0.08335689710359517,0.0021963432417416153,0,,,723,0.1845,True
1,shar,0.20956308207994137,0.08595378742381232,0.002177434478380228,0,0.3265695591591249,0.7439934704821294,723,0.2925,True
1,har_rv_iv,0.20466274216480104,0.0792422105473154,0.0021128910107780967,0,-1.2363932844446164,0.21631241114997368,723,0.735,True
1,har_x_lasso,0.203941142285178,0.08339508850644983,0.0021153153125015515,0,-0.8855521400025349,0.37585891136759164,723,0.735,True
1,hgb,0.2109569967052146,0.09622757389704129,0.002110387474602436,0,0.42236430118145213,0.6727591306352534,723,0.236,True
1,lstm,0.21726763480406583,0.08307381310438577,0.0022412605092496036,0,1.399036012452104,0.16180218412790537,723,0.0175,False
1,lstm_x,0.23637164642750672,0.09122146857729674,0.002146096061165817,0,2.4392525940172733,0.01471767670211288,723,0.016,False
1,combination,0.20264632764590865,0.0801786501973365,0.002063763756158209,0,-1.9684421969235233,0.0490171807579971,723,1.0,True
5,persistence,0.3513558587567113,0.09512453834699919,0.003146161290024631,0,5.124493768002079,2.983382165755444e-07,723,0.0,False
5,har,0.2076759715560938,0.059586012271691136,0.00243696983451282,0,,,723,0.6825,True
5,shar,0.20856934787262216,0.0623433011881962,0.0024209739705257955,0,1.342838615556963,0.17932423649115936,723,0.4765,True
5,har_rv_iv,0.20869137776020072,0.05873109092400797,0.0023414476541668726,0,0.15644168153730914,0.8756848844991083,723,0.3445,True
5,har_x_lasso,0.2009033930654332,0.05959804743225683,0.0022096861427500798,0,-0.7758597763482141,0.4378317846780506,723,0.817,True
5,hgb,0.204063842681142,0.056029934396346404,0.002370345874045185,0,-0.3949505571619758,0.6928793774207267,723,0.725,True
5,lstm,0.2456974586214119,0.07480761911250866,0.003537864463183866,0,2.6119677925064235,0.009002273457993981,723,0.027,False
5,lstm_x,0.23133696439763118,0.06220033407092984,0.002429378703076678,0,1.1122263443579592,0.26604084359053193,723,0.319,True
5,combination,0.2001861305046353,0.05612953685712441,0.0023315561324720384,0,-1.0897813003294736,0.2758094930870274,723,1.0,True
21,persistence,0.579980033702493,0.12156774395397729,0.004147736767416414,0,3.7006949073078332,0.0002150098594853045,723,0.0045,False
21,har,0.24539626939883452,0.10395948638663932,0.0024190771693239554,0,,,723,0.46,True
21,shar,0.24555346833942399,0.1049367339553704,0.0024247132805098252,0,0.4387708764568368,0.6608275648809716,723,0.46,True
21,har_rv_iv,0.24615351457566276,0.10738064478825549,0.002442197536869668,0,0.7379657850381829,0.4605352410054666,723,0.46,True
21,har_x_lasso,0.24993411028341267,0.09432583545061668,0.002283830720480711,0,0.3484165589849659,0.7275273684165495,723,0.3785,True
21,hgb,0.22488250097702872,0.05411658391080665,0.0023678904571674893,0,-0.7222215748707631,0.4701582607954937,723,1.0,True
21,lstm,0.2650717365023577,0.09086245771960044,0.0024089301607714986,0,1.1480697327459035,0.25093977790507704,723,0.059,False
21,lstm_x,0.2938700238937825,0.06062344046070711,0.00262056749621662,0,1.1450741448883321,0.25217844471943285,723,0.3785,True
21,combination,0.23488481779513531,0.08568991254328862,0.0021972543102555956,0,-1.189380672802081,0.23428990273302963,723,0.6035,True
