horizon,model,qlike_calm,qlike_stressed,n_calm,n_stressed,delta_calm_vs_har,delta_stressed_vs_har
1,persistence,0.2684947186040943,0.3404920050540309,651,70,0.07662492197331658,-0.03231733208566023
1,har,0.19186979663077772,0.3728093371396911,651,70,0.0,0.0
1,shar,0.19312336115893022,0.3678751529588753,651,70,0.0012535645281525065,-0.004934184180815815
1,har_rv_iv,0.18569127809696628,0.38260741392479175,651,70,-0.0061785185338114335,0.00979807678510064
1,har_x_lasso,0.18250408711057012,0.39846031009630617,651,70,-0.009365709520207599,0.02565097295661506
1,hgb,0.18880956966219645,0.4211654940702207,651,70,-0.00306022696858127,0.04835615693052958
1,lstm,0.19727458283614283,0.5171377470338122,651,70,0.0054047862053651086,0.1443284098941211
1,lstm_x,0.191690700243823,0.46931505184298944,651,70,-0.00017909638695470798,0.09650571470329833
1,combination,0.18085317177875299,0.40103147310014403,651,70,-0.011016624852024731,0.02822213596045292
5,persistence,0.3211300113651996,0.6351408780560645,651,70,0.1630658074279121,-0.04646677691638923
5,har,0.15806420393728748,0.6816076549724537,651,70,0.0,0.0
5,shar,0.15876454087859834,0.6842703989107104,651,70,0.0007003369413108584,0.0026627439382567175
5,har_rv_iv,0.15474997645570604,0.7182247849237167,651,70,-0.0033142274815814443,0.03661712995126298
5,har_x_lasso,0.14910970515308125,0.714738346420594,651,70,-0.008954498784206233,0.03313069144814029
5,hgb,0.15278297168142385,0.7604039200445173,651,70,-0.005281232255863633,0.07879626507206361
5,lstm,0.16927015538195592,0.8856892067334923,651,70,0.011205951444668433,0.2040815517610386
5,lstm_x,0.2014400475296929,1.093212244272979,651,70,0.04337584359240543,0.41160458930052535
5,combination,0.15054393741229186,0.7536702289139227,651,70,-0.007520266524995628,0.07206257394146898
21,persistence,0.5915305646027409,0.4591646262412377,651,70,0.35902367864997486,0.09355872308949037
21,har,0.232506885952766,0.36560590315174735,651,70,0.0,0.0
21,shar,0.23256360228911527,0.36650545601894546,651,70,5.6716336349266205e-05,0.0008995528671981168
21,har_rv_iv,0.23301908542701882,0.3687752462140817,651,70,0.0005121994742528224,0.003169343062334351
21,har_x_lasso,0.24013292230803038,0.3990946292578372,651,70,0.007626036355264376,0.03348872610608983
21,hgb,0.2183583776650773,0.42063951386564674,651,70,-0.01414850828768871,0.055033610713899395
21,lstm,0.23742911061330774,0.5419926839404173,651,70,0.004922224660541735,0.17638678078866998
21,lstm_x,0.28925004178082486,0.6033183902150482,651,70,0.05674315582805886,0.23771248706330084
21,combination,0.2180213490161044,0.3951338878010334,651,70,-0.014485536936661603,0.029527984649286076
