horizon,model,qlike_mean,sharpe,mean_ann,vol_ann,max_drawdown,worst_month,turnover_ann,n_days,qlike_winner,sharpe_winner,diff_vs_qlike_winner,p_vs_qlike_winner,diff_vs_har,p_vs_har,diff_vs_buy_and_hold,p_vs_buy_and_hold,qlike_sharpe_spearman,qlike_sharpe_spearman_p
1,buy_and_hold,,1.258754808188437,0.21006580000000005,0.16688381139319788,-0.20230100000000006,-0.057930999999999996,,720,har_x_lasso,lstm,0.02693745362143729,0.704,0.03533121453346166,0.563,-0.06826278719683931,0.733,-0.3666666666666667,0.3317398014330152
1,lstm,0.22860598187956122,1.2568162533638287,0.25355530223124095,0.20174413049847842,-0.24917193059886655,-0.08910717484918598,26.816277790351915,719,har_x_lasso,lstm,0.02693745362143729,0.704,0.03533121453346166,0.563,-0.06826278719683931,0.733,-0.3666666666666667,0.3317398014330152
1,lstm_x,0.18726974968351107,1.2491501655049235,0.2511760321858736,0.20107753184689753,-0.2312445864252135,-0.08403709513060632,28.526735862784975,719,har_x_lasso,lstm,0.02693745362143729,0.704,0.03533121453346166,0.563,-0.06826278719683931,0.733,-0.3666666666666667,0.3317398014330152
1,combination,0.18708604579803903,1.2327635111471245,0.246369955616026,0.19985175858001442,-0.23522122190325107,-0.08707359514316171,32.45670280751232,719,har_x_lasso,lstm,0.02693745362143729,0.704,0.03533121453346166,0.563,-0.06826278719683931,0.733,-0.3666666666666667,0.3317398014330152
1,har_x_lasso,0.1841110779677016,1.2298787997423914,0.24561066958085215,0.19970314931219027,-0.2423395018449026,-0.08709829777403137,30.377231726396335,719,har_x_lasso,lstm,0.02693745362143729,0.704,0.03533121453346166,0.563,-0.06826278719683931,0.733,-0.3666666666666667,0.3317398014330152
1,har_rv_iv,0.19530049195903038,1.2293308505148455,0.25070786561899194,0.20393848044567922,-0.24615460413954587,-0.08684194744916579,36.21023080584267,719,har_x_lasso,lstm,0.02693745362143729,0.704,0.03533121453346166,0.563,-0.06826278719683931,0.733,-0.3666666666666667,0.3317398014330152
1,har,0.20947355103943507,1.221485038830367,0.2464563592852587,0.20176780840578531,-0.23919403764832087,-0.08769895061659107,39.82494672714981,719,har_x_lasso,lstm,0.02693745362143729,0.704,0.03533121453346166,0.563,-0.06826278719683931,0.733,-0.3666666666666667,0.3317398014330152
1,shar,0.2102059503128328,1.214592104345075,0.2443859298919502,0.20120823197984358,-0.2376803607814928,-0.08754591668822817,42.2129451936007,719,har_x_lasso,lstm,0.02693745362143729,0.704,0.03533121453346166,0.563,-0.06826278719683931,0.733,-0.3666666666666667,0.3317398014330152
1,hgb,0.19451138890775246,1.2005275545031648,0.23772444566401532,0.19801665090677323,-0.23370435520329763,-0.08568078940533233,35.633045002772576,719,har_x_lasso,lstm,0.02693745362143729,0.704,0.03533121453346166,0.563,-0.06826278719683931,0.733,-0.3666666666666667,0.3317398014330152
1,persistence,0.278276224801207,1.162698450739472,0.23870401255849732,0.2053017378725176,-0.24124848182252445,-0.0835158311079634,61.73343116316301,719,har_x_lasso,lstm,0.02693745362143729,0.704,0.03533121453346166,0.563,-0.06826278719683931,0.733,-0.3666666666666667,0.3317398014330152
5,har_x_lasso,0.186591727658305,1.280491723751073,0.2505126140771741,0.19563782368176688,-0.2295693278658104,-0.08224397526963376,27.59889926267389,719,hgb,har_x_lasso,0.07400363197203297,0.1905,0.0720404313338201,0.2555,-0.04458731680959516,0.821,-0.31666666666666665,0.406397014486386
5,buy_and_hold,,1.258754808188437,0.21006580000000005,0.16688381139319788,-0.20230100000000006,-0.057930999999999996,,720,hgb,har_x_lasso,0.07400363197203297,0.1905,0.0720404313338201,0.2555,-0.04458731680959516,0.821,-0.31666666666666665,0.406397014486386
5,lstm_x,0.24938715339116327,1.2508241694051123,0.2521520057067532,0.2015886899808435,-0.2607731832055005,-0.08678832973726017,17.528856594777142,719,hgb,har_x_lasso,0.07400363197203297,0.1905,0.0720404313338201,0.2555,-0.04458731680959516,0.821,-0.31666666666666665,0.406397014486386
