horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_har,p_vs_har,n_obs,mcs_pvalue,in_mcs
1,persistence,0.2754847464147677,0.10418964985451473,0.0025947170760932197,0,5.311216943723446,1.0889560497773232e-07,721,0.0,False
1,har,0.2094367423112547,0.08342798940741547,0.002223165041125566,0,,,721,0.213,True
1,shar,0.21008955453756567,0.08538399293601806,0.0022055967177478154,0,0.32613303760518897,0.7443237019440485,721,0.3485,True
1,har_rv_iv,0.204809349536561,0.07878903267764303,0.002137512232270152,0,-1.356447156308553,0.17495693802136625,721,0.449,True
1,har_x_lasso,0.20347071070141828,0.07921953739028154,0.0021244178608253207,0,-1.0750532911895976,0.2823508698785908,721,0.7045,True
1,hgb,0.21136839727462597,0.09465667345097128,0.0022495531988922356,0,0.33766465783747157,0.7356159109456026,721,0.0915,False
1,lstm,0.22832925897183887,0.07900871363695106,0.0032222649376129494,0,2.285810779170553,0.022265330805792738,721,0.0915,False
1,lstm_x,0.21864452078743135,0.078971506109488,0.0021108141011238184,0,0.8290882854431653,0.4070544520180319,721,0.1415,True
1,combination,0.20222970588762587,0.08043685332762007,0.0021358852070698917,0,-1.8852979007437556,0.059389629424598134,721,1.0,True
5,persistence,0.351616503276934,0.09512453834699919,0.0031721139008827107,0,5.087639758651221,3.625471982626749e-07,721,0.0005,False
5,har,0.20889366520283764,0.05973638166918471,0.0024619493557347526,0,,,721,0.7035,True
5,shar,0.20978452709530826,0.06302794592643579,0.002444791379621054,0,1.2972810738629097,0.19453449395834133,721,0.5745,True
5,har_rv_iv,0.20945626853997898,0.05918147171592847,0.0023676243835759644,0,0.08807887922833327,0.9298139830618257,721,0.6865,True
5,har_x_lasso,0.20402510721788833,0.05902350720631855,0.0022206594374302928,0,-0.5594985090796082,0.5758215484526612,721,1.0,True
5,hgb,0.21177529676521933,0.06538628497539967,0.0024127303040813223,0,0.36691099948491135,0.7136854064237359,721,0.7035,True
5,lstm,0.23882540308598862,0.06882140532269454,0.0038938902517323044,0,2.087953538171867,0.03680202600584681,721,0.168,True
5,lstm_x,0.28801987245622557,0.06406764220139438,0.002708792764564727,0,2.1613092351624563,0.030671460017712482,721,0.138,True
5,combination,0.20909988804351812,0.059797598267960606,0.00238182433290576,0,0.02855749769718796,0.9772175101708818,721,0.7035,True
21,persistence,0.5786795026258958,0.12082292117900817,0.0041603801189612636,0,3.6815408898195505,0.00023182859898462915,721,0.002,False
21,har,0.24542912063227873,0.10213791596228838,0.0024322587451234994,0,,,721,0.669,True
21,shar,0.24556766575803074,0.10493105707742378,0.0024372894289565604,0,0.39442249275772545,0.6932691401490512,721,0.669,True
21,har_rv_iv,0.24619929521217052,0.10607997074022046,0.0024569534756593,0,0.7400197822965504,0.4592879909438774,721,0.669,True
21,har_x_lasso,0.2555660977400504,0.06733443830035091,0.002196187904612528,0,0.44183289963548206,0.6586101294361228,721,0.669,True
21,hgb,0.23799732292726847,0.053626782740994194,0.00224028890476658,0,-0.36175266036986314,0.7175368710387253,721,0.8315,True
21,lstm,0.26699838957710476,0.10002624541952931,0.002575545172513357,0,1.194381660875327,0.23232870723502774,721,0.041,False
21,lstm_x,0.31974211444434164,0.05901171942562389,0.002705951907504469,0,2.0312963794180603,0.04222493844219111,721,0.041,False
21,combination,0.2352167411311461,0.0828594047380462,0.0022175512228636484,0,-1.0369385403515363,0.29976450095315244,721,1.0,True
