date,persistence__both,persistence__long_only,har__both,har__long_only,shar__both,shar__long_only,har_rv_iv__both,har_rv_iv__long_only,har_x_lasso__both,har_x_lasso__long_only,hgb__both,hgb__long_only,lstm__both,lstm__long_only,lstm_x__both,lstm_x__long_only,combination__both,combination__long_only,always_short__both,always_long__both,always_long__long_only
2024-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.954362997235027e-05,-6.954362997235027e-05,-6.954362997235027e-05
2024-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005274821450451887,-0.0011918216225249956,-0.0011918216225249956
2024-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.871228726675697e-05,-6.871228726675697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006599507084650394,-0.0014231784229895602,-0.0014231784229895602
2024-03-20,-0.00011036275583311739,-0.00011036275583311739,-0.00011036275583311739,-0.00011036275583311739,-0.00011036275583311739,-0.00011036275583311739,-0.00011036275583311739,-0.00011036275583311739,-0.00011036275583311739,-0.00011036275583311739,-0.0009684669647936838,-0.0009684669647936838,-0.00011036275583311739,-0.00011036275583311739,0.0,0.0,-0.00011036275583311739,-0.00011036275583311739,0.0014522513114471449,-0.002867200804891156,-0.002867200804891156
2024-03-21,-0.0009594727725565041,-0.0009594727725565041,-0.001061759101687398,-0.001061759101687398,-0.001061759101687398,-0.001061759101687398,-0.001061759101687398,-0.001061759101687398,-0.0009594727725565041,-0.0009594727725565041,-0.0015057495871052577,-0.0015057495871052577,-0.001061759101687398,-0.001061759101687398,0.0,0.0,-0.001061759101687398,-0.001061759101687398,0.0007267684008617488,-0.0015820785717980766,-0.0015820785717980766
2024-03-22,-0.0011194225121452007,-0.0011194225121452007,-0.0027166728191201288,-0.0027166728191201288,-0.0027166728191201288,-0.0027166728191201288,-0.0027166728191201288,-0.0027166728191201288,-0.0011194225121452007,-0.0011194225121452007,-0.0033400390521406234,-0.0033400390521406234,-0.0027166728191201288,-0.0027166728191201288,0.0,0.0,-0.0027166728191201288,-0.0027166728191201288,0.003154089941911262,-0.003903999233206106,-0.003903999233206106
2024-03-25,-0.0029647016288175507,-0.0029647016288175507,-0.008682313505839721,-0.008682313505839721,-0.008682313505839721,-0.008682313505839721,-0.008682313505839721,-0.008682313505839721,-0.0029647016288175507,-0.0029647016288175507,-0.012050841633499312,-0.012050841633499312,-0.008682313505839721,-0.008682313505839721,0.0,0.0,-0.008682313505839721,-0.008682313505839721,0.01832883074610319,-0.019267838724050915,-0.019267838724050915
2024-03-26,-0.0015124586724355044,-0.0015124586724355044,-0.004590720094629426,-0.004590720094629426,-0.004590720094629426,-0.004590720094629426,-0.004590720094629426,-0.004590720094629426,-0.0015124586724355044,-0.0015124586724355044,-0.007706516593567743,-0.007706516593567743,-0.004590720094629426,-0.004590720094629426,0.0,0.0,-0.004590720094629426,-0.004590720094629426,0.009377441458080425,-0.010354195700893753,-0.010354195700893753
2024-03-27,-0.0003172390442758743,-0.0003172390442758743,-0.0007000218661307824,-0.0007000218661307824,-0.0007000218661307824,-0.0007000218661307824,-0.0007000218661307824,-0.0007000218661307824,-0.0003172390442758743,-0.0003172390442758743,-0.0015022047063259982,-0.0015022047063259982,-0.0005920147728072218,-0.0005920147728072218,-0.00010800709332356064,-0.00010800709332356064,-0.0007000218661307824,-0.0007000218661307824,-0.0018404929178186893,-0.0019007994086647512,-0.0019007994086647512
2024-03-28,0.0014612504541994902,0.0014612504541994902,0.0028679912844516557,0.0028679912844516557,0.0028679912844516557,0.0028679912844516557,0.0028679912844516557,0.0028679912844516557,0.0014612504541994902,0.0014612504541994902,0.0071603942872746126,0.0071603942872746126,0.0024892409891971367,0.0024892409891971367,0.00028201232975786093,0.00028201232975786093,0.0028679912844516557,0.0028679912844516557,-0.012736467000106862,0.01188930444499011,0.01188930444499011
2024-04-01,-0.004976614681791289,-0.004976614681791289,-0.010283262642622356,-0.010283262642622356,-0.010283262642622356,-0.010283262642622356,-0.010283262642622356,-0.010283262642622356,-0.004976614681791289,-0.004976614681791289,-0.020792349800988853,-0.020792349800988853,-0.008080524908301754,-0.008080524908301754,-0.004509644131443288,-0.004509644131443288,-0.010283262642622356,-0.010283262642622356,0.026280093065463438,-0.027517261861289593,-0.027517261861289593
