horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_base,p_vs_base,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_base,block
1,har_rs_iv,0.20335426570140466,0.08477659798656245,0.002099241053114958,0,,,723,0.8065,True,0.0,baseline
1,rich_x__atm_iv_30,0.20999956601648467,0.07515700299479211,0.002069856969456586,0,2.1196308486145563,0.034037188833057286,723,0.237,True,0.0066453003150800105,option
1,rich_x__skew_25d_30,0.20685675580764065,0.08434511439258263,0.002104984945225273,0,3.2891355910136006,0.001004955975807853,723,0.0105,False,0.0035024901062359892,option
1,rich_x__term_slope_30_91,0.2017733491743695,0.09201378479275202,0.0020979013964648532,0,-0.6824404395467183,0.49496049219749505,723,1.0,True,-0.0015809165270351533,option
1,rich_x__vix_vol,0.20851952066195906,0.07784353533562927,0.0020844264876574647,0,2.7066187114169407,0.006797227556048391,723,0.025,False,0.005165254960554394,option
1,rich_x__spy_put_call,0.20292094905818697,0.08508659068075453,0.0021031879165328707,0,-1.0821037692270323,0.2792064211681544,723,0.936,True,-0.0004333166432176905,option
1,rich_x__wiki_attention,0.2049187580696377,0.08403927485001472,0.0021040670552732394,0,2.1311429420308787,0.03307736793228799,723,0.2065,True,0.001564492368233028,attention
1,rich_x__epu_log,0.205013693846723,0.0813494934565977,0.0021054964727089576,0,1.3875146953480089,0.16528487323681818,723,0.598,True,0.0016594281453183313,uncertainty
1,rich_x__emv_overall,0.20327866784612086,0.08531626345486432,0.002103449808662132,0,-0.12004444389546363,0.9044479413576707,723,0.936,True,-7.559785528379881e-05,uncertainty
1,rich_x__is_fomc,0.20480598902474167,0.08359149648823583,0.0021008672014768766,0,1.9226771592067933,0.05452060707975215,723,0.237,True,0.001451723323337012,calendar
1,rich_x__is_cpi,0.20304838344029733,0.08492181301813195,0.002087927029157311,0,-0.32387597048541283,0.7460319370394499,723,0.936,True,-0.0003058822611073375,calendar
1,rich_x__is_payrolls,0.20388466747000977,0.08617673561245698,0.002101002031473205,0,0.735000083993186,0.46233944296778495,723,0.7825,True,0.0005304017686051099,calendar
5,har_rs_iv,0.2102640732188944,0.06066136634944397,0.002313693019708537,0,,,723,0.3885,True,0.0,baseline
5,rich_x__atm_iv_30,0.21758655939763047,0.056664230504284596,0.0022750763237978267,0,1.3719455885636824,0.1700803769770287,723,0.509,True,0.007322486178736071,option
5,rich_x__skew_25d_30,0.21624473341372533,0.0575969045503093,0.0023336811649931877,0,2.0931816719887473,0.03633294020270239,723,0.3055,True,0.005980660194830928,option
5,rich_x__term_slope_30_91,0.211571173175729,0.06707822331373903,0.0023341081171389107,0,0.4229349761648393,0.6723427032424971,723,0.8555,True,0.0013070999568345898,option
5,rich_x__vix_vol,0.21511787493494683,0.05507593253696719,0.0023140028610665023,0,1.5413940078872381,0.1232209215096649,723,0.4615,True,0.0048538017160524305,option
5,rich_x__spy_put_call,0.21124756314172302,0.061068626622533984,0.0023150227238541896,0,1.909828657399432,0.05615527820261468,723,0.31,True,0.0009834899228286231,option
5,rich_x__wiki_attention,0.21081068524596328,0.06244316320793275,0.0023169458964141625,0,1.6412189397270196,0.10075197554947901,723,0.1375,True,0.0005466120270688768,attention
5,rich_x__epu_log,0.21502842620651028,0.06109228716084547,0.002324536516754629,0,1.9285747199921497,0.05378367991514743,723,0.31,True,0.0047643529876158774,uncertainty
5,rich_x__emv_overall,0.2107812920958231,0.0602932930432476,0.0023177845874485935,0,0.6212552285700792,0.5344317064170478,723,0.6375,True,0.00051721887692871,uncertainty
5,rich_x__is_fomc,0.2098233819144897,0.06116677565289619,0.002312227124994925,0,-1.6962516474755969,0.08983823321610007,723,1.0,True,-0.00044069130440468895,calendar
5,rich_x__is_cpi,0.21013061602104377,0.06162345050357243,0.0023091483443181933,0,-0.20005634638757966,0.8414365136837318,723,0.8555,True,-0.00013345719785062826,calendar
5,rich_x__is_payrolls,0.21084438254968071,0.060068539519168684,0.0023166815323776365,0,2.5189374052693045,0.01177095802125927,723,0.09,False,0.0005803093307863161,calendar
21,har_rs_iv,0.24623723653510846,0.10729025452957441,0.0024443623660352375,0,,,723,0.937,True,0.0,baseline
21,rich_x__atm_iv_30,0.25001487782332776,0.08815270868270786,0.002360171846104008,0,0.39434857698718356,0.6933237036337772,723,0.937,True,0.0037776412882193078,option
21,rich_x__skew_25d_30,0.2551192086176836,0.09034845251159851,0.0024698538920972482,0,0.746609619156294,0.4552992403081402,723,0.76,True,0.008881972082575157,option
21,rich_x__term_slope_30_91,0.2579115468545104,0.12488939937333443,0.0025549746747977804,0,2.382541469369086,0.017193595329533018,723,0.094,False,0.011674310319401943,option
21,rich_x__vix_vol,0.24929426167981758,0.09302662446238807,0.0024217226865554356,0,0.3483333048158515,0.7275898845280526,723,0.937,True,0.0030570251447091246,option
21,rich_x__spy_put_call,0.2520197077664937,0.10564921708387232,0.0024598933033105484,0,1.2969176584179634,0.19465951998445985,723,0.1745,True,0.005782471231385228,option
21,rich_x__wiki_attention,0.2478326200132631,0.10494792713218781,0.002454230550790911,0,0.9566090872132325,0.3387646004399394,723,0.76,True,0.0015953834781546328,attention
21,rich_x__epu_log,0.2639360263419855,0.10838850955383195,0.0025262518215935577,0,2.139517716933086,0.032393762620968714,723,0.0425,False,0.01769878980687703,uncertainty
21,rich_x__emv_overall,0.2430062480480174,0.09207631444528475,0.0023949408512542727,0,-0.7121945123374164,0.4763443346620466,723,1.0,True,-0.003230988487091052,uncertainty
21,rich_x__is_fomc,0.24631076462542412,0.10695801992800336,0.002445753290239233,0,0.08016202680450225,0.9361083911526176,723,0.937,True,7.352809031566099e-05,calendar
21,rich_x__is_cpi,0.24622639210218203,0.10642978599884945,0.00244401784664159,0,-0.05337764168159454,0.9574310191652344,723,0.937,True,-1.0844432926426784e-05,calendar
21,rich_x__is_payrolls,0.2463610630067386,0.10613137099895997,0.002446113735425428,0,0.6314270179449782,0.5277613548503719,723,0.937,True,0.00012382647163014515,calendar
