horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_har,p_vs_har,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_har,block
1,har,0.2094367423112547,0.08342798940741547,0.002223165041125566,0,,,721,0.5135,True,0.0,baseline
1,har_x__atm_ivar_30,0.204809349536561,0.07878903267764303,0.002137512232270152,0,-1.356447156308553,0.17495693802136625,721,1.0,True,-0.004627392774693706,option
1,har_x__atm_iv_30,0.21350389518443538,0.07408195793872929,0.002115365200397813,0,0.957840193295615,0.3381433480438034,721,0.287,True,0.004067152873180685,option
1,har_x__skew_25d_30,0.2211913291517701,0.08130368660926979,0.002228357254533729,0,4.013530945801446,5.981715619607364e-05,721,0.006,False,0.01175458684051539,option
1,har_x__term_slope_30_91,0.20507232327051741,0.09165494586052692,0.0021984963065314355,0,-1.4608301035092512,0.14406207224636303,721,0.9455,True,-0.004364419040737283,option
1,har_x__vix_vol,0.21504746981402972,0.07997830546989237,0.0021468088308752753,0,1.6425895591703483,0.1004678824319718,721,0.026,False,0.005610727502775026,option
1,har_x__spy_put_call,0.20852810338617908,0.08421715161493681,0.0022286739917300874,0,-1.512434307136927,0.13042341283461578,721,0.6025,True,-0.0009086389250756166,option
1,har_x__gdelt_tone_mkt,0.21919087714998103,0.08330968587905097,0.002210812454786237,0,3.111504206503831,0.001861368220756221,721,0.052,False,0.009754134838726336,news
1,har_x__gdelt_share_mkt,0.20956266528999684,0.0839078711762209,0.0022251881931811385,0,0.35886265386843086,0.719697839088288,721,0.6025,True,0.00012592297874214342,news
1,har_x__gdelt_tone_econ,0.21940549012508917,0.08199998738608882,0.0022139363312592263,0,2.912172843184623,0.0035892396650867298,721,0.052,False,0.009968747813834472,news
1,har_x__gdelt_share_econ,0.20901571431840518,0.08286419116109234,0.0022242815701871846,0,-1.752041176094435,0.07976672788700956,721,0.6025,True,-0.0004210279928495153,news
1,har_x__wiki_attention,0.21010844374333507,0.08236312400708812,0.0022258493124293426,0,2.2092422933406928,0.027157792606131492,721,0.124,True,0.0006717014320803683,attention
1,har_x__epu_log,0.2096492171221086,0.0833826445954644,0.0022262419589473507,0,0.8563383358470533,0.391810662301882,721,0.287,True,0.00021247481085390207,uncertainty
1,har_x__emv_overall,0.20964956292422504,0.0829193923099174,0.002229436588994699,0,0.44068663460732976,0.6594398737903768,721,0.6025,True,0.0002128206129703436,uncertainty
1,har_x__is_fomc,0.21116042706647387,0.0838876554797856,0.0022244351921543435,0,2.405307805109206,0.016158849140597065,721,0.089,False,0.001723684755219168,calendar
1,har_x__is_cpi,0.20911476831764408,0.08313375109567378,0.0022094957261974105,0,-0.26208983596313806,0.7932521826936083,721,0.6025,True,-0.00032197399361061363,calendar
1,har_x__is_payrolls,0.20992181839002552,0.0850439876953275,0.0022263841564357685,0,0.923310329145567,0.35584550658047176,721,0.5685,True,0.00048507607877082415,calendar
5,har,0.20889366520283764,0.05973638166918471,0.0024619493557347526,0,,,721,0.3865,True,0.0,baseline
5,har_x__atm_ivar_30,0.20945626853997898,0.05918147171592847,0.0023676243835759644,0,0.08807887922833327,0.9298139830618257,721,0.9765,True,0.0005626033371413375,option
5,har_x__atm_iv_30,0.21566958822646093,0.05521831847981007,0.002321858582065723,0,0.7786689837320149,0.4361747313313362,721,0.7625,True,0.006775923023623287,option
5,har_x__skew_25d_30,0.22097056637210968,0.0558069071514018,0.0024693690499467042,0,2.198569141437391,0.027908573194008524,721,0.2905,True,0.012076901169272042,option
5,har_x__term_slope_30_91,0.20798907025641053,0.06743758299413383,0.002456685144168169,0,-0.2217687588553133,0.8244939007090071,721,1.0,True,-0.0009045949464271119,option
5,har_x__vix_vol,0.2145710595296091,0.05420475870847863,0.0023853045053387387,0,0.9023917389097469,0.36684880793792196,721,0.7195,True,0.0056773943267714455,option
5,har_x__spy_put_call,0.2098792830169206,0.06235436401703787,0.0024639346742763007,0,2.1075756804261907,0.03506770903597478,721,0.2885,True,0.000985617814082962,option
5,har_x__gdelt_tone_mkt,0.22729393795831696,0.059398446026825535,0.0024487082549822983,0,2.2209383179989226,0.026355139459701027,721,0.2885,True,0.018400272755479313,news
5,har_x__gdelt_share_mkt,0.20999149487870844,0.06183525501608744,0.002467521474216516,0,0.8881519745084578,0.3744590081654082,721,0.7625,True,0.0010978296758707984,news
5,har_x__gdelt_tone_econ,0.22785687880422942,0.05720702058011762,0.0024385012575607067,0,2.2870030300596436,0.02219564623453918,721,0.2885,True,0.018963213601391776,news
5,har_x__gdelt_share_econ,0.21437700465368537,0.05736987813586092,0.0024652490673833637,0,1.620691885212001,0.10508373483280287,721,0.6135,True,0.005483339450847724,news
5,har_x__wiki_attention,0.20954884360505643,0.06172290874143416,0.002462909770962984,0,1.2015458463246529,0.22953953358116408,721,0.4675,True,0.0006551784022187923,attention
5,har_x__epu_log,0.21048392702756236,0.062260595642503525,0.0024712124277483285,0,2.4296558836464475,0.015113164320616823,721,0.1575,True,0.0015902618247247147,uncertainty
5,har_x__emv_overall,0.20971903033126083,0.059000468688416685,0.0024844319178747637,0,0.8210899073265853,0.41159505842811406,721,0.7625,True,0.0008253651284231833,uncertainty
5,har_x__is_fomc,0.2084240154665529,0.059993789823835186,0.0024609986383565554,0,-1.9157389546672372,0.05539833139694683,721,0.9765,True,-0.00046964973628474405,calendar
5,har_x__is_cpi,0.20880737790637938,0.061503508668940166,0.0024556048691431773,0,-0.10481285234812296,0.9165243115266839,721,0.942,True,-8.628729645826505e-05,calendar
5,har_x__is_payrolls,0.20921824752235002,0.059342787739230296,0.002463899696063991,0,1.9567423387653984,0.0503777693932439,721,0.1315,True,0.0003245823195123787,calendar
21,har,0.24542912063227873,0.10213791596228838,0.0024322587451234994,0,,,721,0.882,True,0.0,baseline
21,har_x__atm_ivar_30,0.24619929521217052,0.10607997074022046,0.0024569534756593,0,0.7400197822965504,0.4592879909438774,721,0.8745,True,0.0007701745798917858,option
21,har_x__atm_iv_30,0.25211125940636925,0.09663514466806111,0.0023490691800653616,0,0.6205159966474117,0.5349181256475251,721,0.8745,True,0.006682138774090518,option
21,har_x__skew_25d_30,0.25500065817618806,0.09168018376149867,0.0024295404344472906,0,0.7300096911030942,0.46538426088927065,721,0.8645,True,0.009571537543909325,option
21,har_x__term_slope_30_91,0.25437309212272075,0.11839471910124244,0.0025058404726765217,0,2.246798149337426,0.024652930100408144,721,0.15,True,0.008943971490442015,option
21,har_x__vix_vol,0.25124683590826347,0.09909622596305545,0.002394298452765268,0,0.6056673329526482,0.5447356804866608,721,0.8745,True,0.005817715275984736,option
