date,target,persistence,har,shar,har_rv_iv,har_x_lasso,hgb,lstm,lstm_x,combination
2022-10-07,0.20481813891738201,0.16004537155,0.16006150183496404,0.16583892880358164,0.1685866880277607,0.20695802836118743,0.1884198900264579,0.17216448485851288,0.22354252636432648,0.18365314975382732
2022-10-10,0.19048736478352574,0.204818138917,0.18591660654960318,0.18783394266211556,0.1930897578985906,0.2340913440449509,0.19015261876022335,0.18428228795528412,0.23965007066726685,0.20214523264829065
2022-10-11,0.1722052435082161,0.190487364783,0.18268001089914837,0.18231503038388375,0.19222591080015738,0.23740402004694516,0.19292993528191957,0.1864522099494934,0.246238112449646,0.20289217568731338
2022-10-12,0.3010464893965117,0.172205243508,0.1727901668427826,0.17021806330640502,0.1848812601120363,0.23563063425191957,0.18796357826751312,0.17986498773097992,0.24727027118206024,0.19694556595624238
2022-10-13,0.29943232053816765,0.301046489396,0.24506917120717026,0.21165834871816602,0.2390050276156366,0.2747320683298422,0.2539665292948669,0.2288905829191208,0.2933546304702759,0.24952519407929694
2022-10-14,0.16946683209678523,0.299432320538,0.2563952957107102,0.27095225610290324,0.24608397775467705,0.2551419607956801,0.23634842203236217,0.2572418451309204,0.24014535546302795,0.25175844471289727
2022-10-17,0.21235822451122538,0.169466832096,0.1893338334340468,0.18484040424231896,0.19027730532649867,0.2276618329893957,0.18851718382830032,0.21638105809688568,0.20421795547008514,0.2001756533410759
2022-10-18,0.17634302344767713,0.212358224511,0.21231132676454373,0.2214260312592972,0.20708711047731074,0.22727709996738255,0.19258221900813835,0.21141257882118225,0.2045804113149643,0.21095382537325988
2022-10-19,0.19932534850533187,0.176343023448,0.19489630005715058,0.20083449296747502,0.19367058907886156,0.22236895161178685,0.193437195455914,0.19734106957912445,0.2131216824054718,0.20223861159368345
2022-10-20,0.21365201351602564,0.199325348505,0.19713614907926016,0.1997651500000597,0.19486699616389946,0.21797629023622167,0.193437195455914,0.19783832132816315,0.2238355427980423,0.20355080643736576
2022-10-21,0.22144854232728647,0.213652013516,0.1969216042375846,0.1889560537141945,0.19537664409189057,0.22214770967421865,0.20953714081697564,0.20169416069984436,0.2301403433084488,0.20639623664902246
2022-10-24,0.13205187352658349,0.221448542328,0.20531679153525323,0.20665573468030707,0.20206800769508046,0.22634108862768207,0.19180176052399098,0.20880284905433655,0.2289823442697525,0.20999551091234325
2022-10-25,0.16887097482514868,0.132051873527,0.154315875470205,0.14728443568990882,0.15769510504543682,0.1880218860304315,0.15991727344412002,0.1749977171421051,0.2076420933008194,0.16998205516043235
2022-10-26,0.18767355039394337,0.168870974825,0.1718588682668778,0.17248244572284088,0.17022442164603002,0.18025742052455887,0.18716487801450604,0.17203272879123688,0.19230735301971436,0.1780468737122521
2022-10-27,0.10946467676845714,0.187673550394,0.18015444689970683,0.1871862165405992,0.17618842550546782,0.18672668879779905,0.18716487801450604,0.17867611348628998,0.19189493358135223,0.18399881468938872
2022-10-28,0.15018875362858966,0.109464676769,0.1325943017000866,0.1207082302971883,0.13612915770126374,0.15720305695334202,0.17535935006116962,0.1497814655303955,0.17484892904758453,0.1495177844701472
2022-10-31,0.1583213493529625,0.150188753629,0.14642664759661764,0.1505355620878468,0.1479526848230006,0.17866114562613625,0.19621703054805,0.14913955330848694,0.17281310260295868,0.1631065323704424
2022-11-01,0.30805969502233166,0.158321349353,0.15280935437871113,0.16227534016326417,0.15289276598843252,0.17257170420210546,0.1819626705492187,0.15403562784194946,0.17178085446357727,0.1640469025124655
2022-11-02,0.18341236447267126,0.308059695022,0.23854513048598938,0.24552262103313569,0.22129615280385273,0.2174701756789969,0.26936646885353194,0.21746383607387543,0.2130686491727829,0.23181900487173787
2022-11-03,0.2702769425998748,0.183412364473,0.1767700763399418,0.17329783499364734,0.169692139308654,0.17582596919676716,0.18448740501491598,0.2006334811449051,0.21466462314128876,0.18505307559144574
2022-11-04,0.12655417781392284,0.2702769426,0.23356531407616318,0.23427632346496355,0.21234290219274365,0.19302954076164108,0.1954833525885241,0.22666770219802856,0.21011756360530853,0.21506895698391038
2022-11-07,0.17861465622080402,0.126554177814,0.16163092511308255,0.1631018193452827,0.1538388183330615,0.1470438178672181,0.14476520003050208,0.1847347915172577,0.16912434995174408,0.16060567459402122
