model,qlike_mean,qlike_median,mse,dm_vs_har,p_vs_har
persistence,0.38345698773825754,0.10216044834491989,0.0017137509473631714,3.2199468615945737,0.0012821436055352464
har_rv,0.12741864120650634,0.08267119480937835,0.0009441734962863267,,
atm_iv_raw,0.24337793514534872,0.21277549149803554,0.0030641652843120958,4.488809572435026,7.1622284882888465e-06
har_plus_iv,0.11819442773350737,0.07544638724039632,0.0008593434982315157,-2.3499019588419587,0.01877835648631976
