horizon,model,qlike_mean,qlike_median,dm_vs_har,p_vs_har,n_obs,mcs_pvalue,in_mcs
1,persistence,0.278276224801207,0.10487439736465975,5.469051076604509,4.524513608217262e-08,720,0.0,False
1,har,0.20947355103943507,0.08362446341693197,,,720,0.0055,False
1,shar,0.2102059503128328,0.0854354691273963,0.36732838136052964,0.7133740862814493,720,0.005,False
1,har_rv_iv,0.19530049195903038,0.07971493995572598,-3.2498745031157243,0.0011545594670712145,720,0.143,True
1,har_x_lasso,0.1841110779677016,0.08145882473903732,-3.055464920447984,0.002247118881760324,720,0.8685,True
1,hgb,0.1935404822529793,0.08813032078201033,-1.4848812173523669,0.13757529237478017,720,0.1815,True
1,lstm,0.22960119022613917,0.08211421750496206,2.5537100065308658,0.010658198355887771,720,0.0195,False
1,lstm_x,0.18280141240658243,0.07243807452904805,-2.0789785371816163,0.037619323222228385,720,1.0,True
1,combination,0.18665160059968885,0.07816259885341603,-4.173883103548093,2.9945144540022284e-05,720,0.856,True
5,persistence,0.35295088554815657,0.09526642573371813,5.127516410588635,2.935893963496028e-07,720,0.0,False
5,har,0.20903361103396145,0.05947871552463624,,,720,0.0645,False
5,shar,0.20991954681096528,0.06285753808597483,1.3059814221726713,0.19155887537504301,720,0.0555,False
5,har_rv_iv,0.20329096444183367,0.05690103312827699,-0.6191828929875521,0.5357958802127842,720,0.398,True
5,har_x_lasso,0.186591727658305,0.05225519554608682,-2.5244962759473153,0.01158642325395598,720,0.8985,True
5,hgb,0.1851218170308022,0.0627359951352231,-1.4410898384806738,0.14955930392298944,720,1.0,True
5,lstm,0.2378408090509458,0.0592515526993298,1.7263136854670316,0.0842909946011352,720,0.0645,False
5,lstm_x,0.23557117238120254,0.056982762312589696,1.4886617230169568,0.13657646924140865,720,0.0645,False
5,combination,0.19255357315671898,0.05476685628117073,-2.6797079457212685,0.007368641937522735,720,0.529,True
21,persistence,0.581052955623675,0.12197979383440793,3.7072034769493665,0.00020956056426757463,720,0.0005,False
21,har,0.24517927025621475,0.10230076220995943,,,720,0.485,True
21,shar,0.24530652139246392,0.10417527676346239,0.38227657064403225,0.702256231317913,720,0.485,True
21,har_rv_iv,0.24848815210905945,0.10414389847741046,0.7208641716795834,0.47099308843749776,720,0.356,True
21,har_x_lasso,0.25460466313331465,0.0651890051195867,0.3670759228534557,0.7135623863578862,720,0.485,True
21,hgb,0.22746405529337238,0.05712445894106499,-0.89765390415389,0.3693700915931557,720,1.0,True
21,lstm,0.2542738567010625,0.08334741519954736,0.5102698423890508,0.60986242761027,720,0.356,True
21,lstm_x,0.3131724993715915,0.06864426126108669,2.0122692423372395,0.044191562864502654,720,0.0065,False
21,combination,0.23141953358609005,0.08237084435265563,-1.2905011262752364,0.19687672103905385,720,0.775,True
