horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_har,p_vs_har,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_har,block
1,har,0.20891503639641296,0.08335689710359517,0.0021963432417416153,0,,,723,0.5935,True,0.0,baseline
1,har_x__atm_ivar_30,0.20466274216480104,0.0792422105473154,0.0021128910107780967,0,-1.2363932844446164,0.21631241114997368,723,1.0,True,-0.004252294231611914,option
1,har_x__atm_iv_30,0.21380606948558328,0.0745140218276441,0.002096232512216218,0,1.1495128181596075,0.25034458430756223,723,0.178,True,0.004891033089170327,option
1,har_x__skew_25d_30,0.22027894523554276,0.08295524577502911,0.0021979793874663672,0,3.912086555432146,9.150210271902104e-05,723,0.002,False,0.0113639088391298,option
1,har_x__term_slope_30_91,0.20499859352916885,0.0922846074213699,0.002176429807296936,0,-1.3147167566061149,0.1886051128542725,723,0.9395,True,-0.003916442867244102,option
1,har_x__vix_vol,0.21501947881958738,0.0793283510112126,0.0021252730058403694,0,1.789890424268222,0.07347152854361982,723,0.0085,False,0.006104442423174428,option
1,har_x__spy_put_call,0.20806419794774145,0.08353170203898008,0.0022022985611773824,0,-1.413268756830309,0.15757671672122497,723,0.5935,True,-0.0008508384486715093,option
1,har_x__wiki_attention,0.20967046718192692,0.08233296228177633,0.002199804913005415,0,2.4513443912344184,0.014232370901280378,723,0.127,True,0.0007554307855139608,attention
1,har_x__epu_log,0.20915929787793167,0.08328571079825053,0.00219814504462524,0,1.0748493317099461,0.2824421898794971,723,0.5935,True,0.0002442614815187094,uncertainty
1,har_x__emv_overall,0.20912964555773272,0.08361068913977787,0.0021965578241941136,0,0.447375175596991,0.6546041965445597,723,0.5935,True,0.0002146091613197676,uncertainty
1,har_x__is_fomc,0.2106250219689343,0.0840714327386547,0.002197470626194063,0,2.38857702486818,0.01691376247352605,723,0.0845,False,0.001709985572521333,calendar
1,har_x__is_cpi,0.2085769439197517,0.08316732998840837,0.002182530600529158,0,-0.2805699011039965,0.779040304496742,723,0.5935,True,-0.0003380924766612503,calendar
1,har_x__is_payrolls,0.2093894824385047,0.08459244030450197,0.002199220852141632,0,0.9210820570904138,0.35700758730815374,723,0.547,True,0.00047444604209173624,calendar
5,har,0.2076759715560938,0.059586012271691136,0.00243696983451282,0,,,723,0.4055,True,0.0,baseline
5,har_x__atm_ivar_30,0.20869137776020072,0.05873109092400797,0.0023414476541668726,0,0.15644168153730914,0.8756848844991083,723,0.971,True,0.0010154062041069223,option
5,har_x__atm_iv_30,0.21558028655705394,0.055869050364678596,0.0023068097477886105,0,0.9088131284136151,0.3634487754655402,723,0.6545,True,0.007904315000960144,option
