horizon,model,qlike_mean,sharpe,mean_ann,vol_ann,max_drawdown,worst_month,turnover_ann,n_days,qlike_winner,sharpe_winner,diff_vs_qlike_winner,p_vs_qlike_winner,diff_vs_har,p_vs_har,diff_vs_buy_and_hold,p_vs_buy_and_hold
1,buy_and_hold,,1.4061478910890937,0.23304415512465373,0.1657323220419978,-0.20230100000000034,-0.057930999999999996,,722,combination,lstm,0.045489611221909865,0.3325,0.06288986638071159,0.2695,-0.01055205897262601,0.9565
1,lstm,0.21810246546500212,1.3465707972043819,0.272519302569922,0.20238022622776305,-0.25499968401690176,-0.093249311791729,25.769932994065265,721,combination,lstm,0.045489611221909865,0.3325,0.06288986638071159,0.2695,-0.01055205897262601,0.9565
1,combination,0.18810693109926,1.301081185982472,0.26101717117896556,0.20061559108770477,-0.2420158288067078,-0.08816658024439537,32.66741272854234,721,combination,lstm,0.045489611221909865,0.3325,0.06288986638071159,0.2695,-0.01055205897262601,0.9565
1,hgb,0.1934582790781571,1.2922449624858074,0.2581228176841674,0.19974759057108907,-0.24123947353296515,-0.08616393062106602,34.7040640363681,721,combination,lstm,0.045489611221909865,0.3325,0.06288986638071159,0.2695,-0.01055205897262601,0.9565
1,har_rv_iv,0.19644374711165932,1.2917965892547327,0.26304364726816193,0.20362621286987442,-0.2455114309717915,-0.08689822743645396,36.16003940597759,721,combination,lstm,0.045489611221909865,0.3325,0.06288986638071159,0.2695,-0.01055205897262601,0.9565
1,lstm_x,0.19253428580947862,1.283839022779946,0.2617427026742784,0.20387501706212116,-0.24862859593460257,-0.08822733427314447,28.798841391118128,721,combination,lstm,0.045489611221909865,0.3325,0.06288986638071159,0.2695,-0.01055205897262601,0.9565
1,har,0.2098570184519804,1.2836809308236703,0.25848295279339706,0.20136074828777134,-0.2392339025449965,-0.0877407178031866,39.504324268758346,721,combination,lstm,0.045489611221909865,0.3325,0.06288986638071159,0.2695,-0.01055205897262601,0.9565
1,shar,0.2107132292425689,1.2761638242152165,0.25623778093978883,0.20078752905988664,-0.23750992630481937,-0.08757089706086454,41.89748258382461,721,combination,lstm,0.045489611221909865,0.3325,0.06288986638071159,0.2695,-0.01055205897262601,0.9565
1,har_x_lasso,0.18938084748600714,1.2580020189412655,0.2507450271903345,0.19932005149034776,-0.2404791498446714,-0.08619609313413432,32.6813820639579,721,combination,lstm,0.045489611221909865,0.3325,0.06288986638071159,0.2695,-0.01055205897262601,0.9565
1,persistence,0.27907711955384507,1.2237897309702184,0.25073017201428965,0.20488010780700966,-0.24124848182252445,-0.0835158311079634,61.35752394084841,721,combination,lstm,0.045489611221909865,0.3325,0.06288986638071159,0.2695,-0.01055205897262601,0.9565
5,buy_and_hold,,1.4061478910890937,0.23304415512465373,0.1657323220419978,-0.20230100000000034,-0.057930999999999996,,722,hgb,lstm_x,0.11624532603109561,0.122,0.08502238783286176,0.385,-0.0017010459578448156,0.9925
5,lstm_x,0.23595585191844212,1.355421810219163,0.27200387250542046,0.20067839432319534,-0.25703822033696466,-0.08615983729273771,16.128953402031005,721,hgb,lstm_x,0.11624532603109561,0.122,0.08502238783286176,0.385,-0.0017010459578448156,0.9925
5,har_x_lasso,0.18724557223636357,1.3134210720429742,0.25163703730223963,0.19158900573357504,-0.2296126203169112,-0.08013318893143995,29.765531751441376,721,hgb,lstm_x,0.11624532603109561,0.122,0.08502238783286176,0.385,-0.0017010459578448156,0.9925
5,combination,0.1936779297371345,1.3061650486887095,0.2511534361357179,0.1922830781514609,-0.23570763197035965,-0.08338783191114754,26.46031314145794,721,hgb,lstm_x,0.11624532603109561,0.122,0.08502238783286176,0.385,-0.0017010459578448156,0.9925
5,har_rv_iv,0.20359745212267183,1.288906357718309,0.25032066358267596,0.19421167572313558,-0.2402362167348711,-0.08051019951801659,32.3558817435864,721,hgb,lstm_x,0.11624532603109561,0.122,0.08502238783286176,0.385,-0.0017010459578448156,0.9925
5,lstm,0.2547733399155882,1.2844801627234244,0.2511623256706625,0.19553616549292172,-0.25442622960642264,-0.08856874356459919,14.538988142907463,721,hgb,lstm_x,0.11624532603109561,0.122,0.08502238783286176,0.385,-0.0017010459578448156,0.9925
5,har,0.20811507860409184,1.2703994223863013,0.24485065845225895,0.19273517772255813,-0.2357138283587557,-0.08206744070536909,37.48211518546601,721,hgb,lstm_x,0.11624532603109561,0.122,0.08502238783286176,0.385,-0.0017010459578448156,0.9925
5,shar,0.20903237027820026,1.2643234677796429,0.2434206014572281,0.19253031970110795,-0.23520336103374723,-0.08254084590273576,38.33451457518136,721,hgb,lstm_x,0.11624532603109561,0.122,0.08502238783286176,0.385,-0.0017010459578448156,0.9925
5,hgb,0.18702772636122358,1.2391764841880675,0.23820923260479906,0.19223188596971996,-0.23647298634284675,-0.08271600441129356,31.182725245555062,721,hgb,lstm_x,0.11624532603109561,0.122,0.08502238783286176,0.385,-0.0017010459578448156,0.9925
5,persistence,0.3509195530668558,1.2237897309702184,0.25073017201428965,0.20488010780700966,-0.24124848182252445,-0.0835158311079634,61.35752394084841,721,hgb,lstm_x,0.11624532603109561,0.122,0.08502238783286176,0.385,-0.0017010459578448156,0.9925
21,buy_and_hold,,1.4061478910890937,0.23304415512465373,0.1657323220419978,-0.20230100000000034,-0.057930999999999996,,722,hgb,hgb,0.0,,0.0635813889254937,0.533,0.04054289932624022,0.7955
21,hgb,0.2252166933986059,1.3976657555032481,0.26086246380850486,0.1866415219671587,-0.21382668714697994,-0.07004371343181261,21.41650337944673,721,hgb,hgb,0.0,,0.0635813889254937,0.533,0.04054289932624022,0.7955
