horizon,model,qlike_mean,sharpe,mean_ann,vol_ann,max_drawdown,worst_month,turnover_ann,n_days,qlike_winner,sharpe_winner,diff_vs_qlike_winner,p_vs_qlike_winner,diff_vs_har,p_vs_har,diff_vs_buy_and_hold,p_vs_buy_and_hold,qlike_sharpe_spearman,qlike_sharpe_spearman_p
1,har,0.20947355103943507,1.3853067733128481,0.2803600395433344,0.20238119450818556,-0.25722731566437373,-0.09007298300757273,39.97677407235608,726,lstm_x,har,0.13954213198589294,0.0726,0.0,,0.07986644698679668,0.6702,0.7833333333333333,0.012519873019449885
1,shar,0.2102059503128328,1.373501171025529,0.2776634082525369,0.20215738734697886,-0.2544328485348333,-0.08902038357993848,42.35271042881627,726,lstm_x,har,0.13954213198589294,0.0726,0.0,,0.07986644698679668,0.6702,0.7833333333333333,0.012519873019449885
1,persistence,0.278276224801207,1.3676786980714948,0.28117235523884454,0.20558363278986042,-0.27186874988472165,-0.0899095937563924,61.835931231261235,726,lstm_x,har,0.13954213198589294,0.0726,0.0,,0.07986644698679668,0.6702,0.7833333333333333,0.012519873019449885
1,har_rv_iv,0.19530049195903038,1.3649025160010746,0.27983353475261646,0.2050208945122907,-0.26559145978116816,-0.08978097347549749,36.34679249133908,726,lstm_x,har,0.13954213198589294,0.0726,0.0,,0.07986644698679668,0.6702,0.7833333333333333,0.012519873019449885
1,lstm,0.22960119022613917,1.3634315649292028,0.2786325744276007,0.20436124672093015,-0.2635066898322932,-0.09170723199269365,27.008273218371116,726,lstm_x,har,0.13954213198589294,0.0726,0.0,,0.07986644698679668,0.6702,0.7833333333333333,0.012519873019449885
1,combination,0.18665160059968885,1.3287469585751264,0.26821146842594246,0.20185293121088863,-0.25560714463760903,-0.09115218478996256,32.7468261434231,726,lstm_x,har,0.13954213198589294,0.0726,0.0,,0.07986644698679668,0.6702,0.7833333333333333,0.012519873019449885
1,buy_and_hold,,1.3054403263260514,0.2170544126096529,0.16626911872756156,-0.20230140525,-0.05798335609000001,,726,lstm_x,har,0.13954213198589294,0.0726,0.0,,0.07986644698679668,0.6702,0.7833333333333333,0.012519873019449885
1,hgb,0.1935404822529793,1.300502366690623,0.25990149324056694,0.19984699751215065,-0.2395117484985425,-0.08824078736710707,35.51905613603823,726,lstm_x,har,0.13954213198589294,0.0726,0.0,,0.07986644698679668,0.6702,0.7833333333333333,0.012519873019449885
1,har_x_lasso,0.1841110779677016,1.2779075044619985,0.2580424943358629,0.20192579935157307,-0.2653464773577336,-0.09345363107249609,30.684531503628985,726,lstm_x,har,0.13954213198589294,0.0726,0.0,,0.07986644698679668,0.6702,0.7833333333333333,0.012519873019449885
1,lstm_x,0.18280141240658243,1.2457646413269552,0.2542221489294463,0.2040691640265658,-0.26537866742129856,-0.09255130504673166,29.495878367839133,726,lstm_x,har,0.13954213198589294,0.0726,0.0,,0.07986644698679668,0.6702,0.7833333333333333,0.012519873019449885
5,persistence,0.35295088554815657,1.3676786980714948,0.28117235523884454,0.20558363278986042,-0.27186874988472165,-0.0899095937563924,61.835931231261235,726,hgb,persistence,0.09898086410728668,0.329,0.02645023290233084,0.6814,0.06223837174544333,0.7668,0.41666666666666663,0.26458604674749636
5,har,0.20903361103396145,1.341228465169164,0.25990495360882593,0.19378126870879164,-0.25450506175644366,-0.08355500830783856,37.7037622250386,726,hgb,persistence,0.09898086410728668,0.329,0.02645023290233084,0.6814,0.06223837174544333,0.7668,0.41666666666666663,0.26458604674749636
