model,variant,n_trades,trade_hit_rate,mean_trade_return,long_share,turnover_ann,trades_per_year
always_long,both,359,0.3231197771587744,-0.026845908445969482,1.0,11.770491803278688,247.18032786885246
hgb,both,200,0.435,-0.03966968557556663,0.855,6.557377049180327,137.70491803278688
combination,both,167,0.4311377245508982,-0.05595681259859811,0.8143712574850299,5.475409836065574,114.98360655737706
har_rv_iv,both,122,0.4672131147540984,-0.06047500293161764,0.7622950819672131,4.0,84.0
har,both,128,0.453125,-0.06401210326294518,0.7734375,4.19672131147541,88.1311475409836
har_x_lasso,both,173,0.4161849710982659,-0.0686972434549103,0.7861271676300579,5.672131147540984,119.11475409836066
persistence,both,148,0.47297297297297297,-0.04534054249769039,0.7364864864864865,4.852459016393443,101.90163934426229
shar,both,130,0.43846153846153846,-0.07357642359330051,0.7769230769230769,4.262295081967213,89.50819672131148
lstm_x,both,230,0.3695652173913043,-0.10361860274405081,0.7869565217391304,7.540983606557377,158.36065573770492
lstm,both,169,0.40828402366863903,-0.11026063854215323,0.7337278106508875,5.540983606557377,116.36065573770492
always_short,both,359,0.5654596100278552,-0.11092110168386371,0.0,11.770491803278688,247.18032786885246
combination,long_only,136,0.4117647058823529,-0.01850198917917853,1.0,4.459016393442623,93.63934426229508
har_rv_iv,long_only,93,0.44086021505376344,-0.026320671268772095,1.0,3.0491803278688523,64.0327868852459
har_x_lasso,long_only,136,0.3897058823529412,-0.024751705956598286,1.0,4.459016393442623,93.63934426229508
har,long_only,99,0.42424242424242425,-0.032963851393893295,1.0,3.245901639344263,68.16393442622952
hgb,long_only,171,0.42105263157894735,-0.031921816219204646,1.0,5.606557377049181,117.73770491803279
always_long,long_only,359,0.3231197771587744,-0.026845908445969482,1.0,11.770491803278688,247.18032786885246
persistence,long_only,109,0.3853211009174312,-0.03597823540376895,1.0,3.5737704918032787,75.04918032786885
shar,long_only,101,0.40594059405940597,-0.045889179578886316,1.0,3.3114754098360657,69.54098360655738
lstm,long_only,124,0.3548387096774194,-0.07491629910947409,1.0,4.065573770491803,85.37704918032787
lstm_x,long_only,181,0.3370165745856354,-0.07722772287109095,1.0,5.9344262295081975,124.62295081967214
