horizon,model,n_forecasts,start,end,reported_qlike,reproduced_qlike
1,har,720,2022-10-07,2025-08-29,0.2094735510394348,0.20947355103943507
1,har_rv_iv,720,2022-10-07,2025-08-29,0.1953004919590301,0.19530049195903038
1,har_x_lasso,720,2022-10-07,2025-08-29,0.1841110779677014,0.1841110779677016
5,har,720,2022-10-07,2025-08-29,0.2090336110339613,0.20903361103396145
5,har_rv_iv,720,2022-10-07,2025-08-29,0.2032909644418335,0.20329096444183367
5,har_x_lasso,720,2022-10-07,2025-08-29,0.1865917276583049,0.186591727658305
21,har,720,2022-10-07,2025-08-29,0.2451792702562146,0.24517927025621475
21,har_rv_iv,720,2022-10-07,2025-08-29,0.2484881521090592,0.24848815210905945
21,har_x_lasso,720,2022-10-07,2025-08-29,0.2529634616919686,0.25296346169196876
