date,close,ret
2018-01-02,268.77,0.007157
2018-01-03,270.47,0.006325
2018-01-04,271.61,0.004215
2018-01-05,273.42,0.006664
2018-01-08,273.92,0.001829
2018-01-09,274.54,0.002263
2018-01-10,274.12,-0.00153
2018-01-11,276.12,0.007296
2018-01-12,277.92,0.006519
2018-01-16,276.97,-0.003418
2018-01-17,279.61,0.009532
2018-01-18,279.14,-0.001681
2018-01-19,280.41,0.00455
2018-01-22,282.69,0.008131
2018-01-23,283.29,0.002122
2018-01-24,283.18,-0.000388
2018-01-25,283.3,0.000424
2018-01-26,286.58,0.011578
2018-01-29,284.68,-0.00663
2018-01-30,281.76,-0.010257
2018-01-31,281.9,0.000497
2018-02-01,281.58,-0.001135
2018-02-02,275.45,-0.02177
2018-02-05,263.93,-0.041823
2018-02-06,269.13,0.019702
2018-02-07,267.67,-0.005425
2018-02-08,257.63,-0.037509
2018-02-09,261.5,0.015022
2018-02-12,265.34,0.014685
2018-02-13,266,0.002487
2018-02-14,269.59,0.013496
2018-02-15,273.03,0.01276
2018-02-16,273.11,0.000293
2018-02-20,271.4,-0.006261
2018-02-21,270.05,-0.004974
2018-02-22,270.4,0.001296
2018-02-23,274.71,0.015939
2018-02-26,277.9,0.011612
2018-02-27,274.43,-0.012487
2018-02-28,271.65,-0.01013
2018-03-01,267.7,-0.014541
2018-03-02,269.08,0.005155
2018-03-05,272.19,0.011558
2018-03-06,272.88,0.002535
2018-03-07,272.78,-0.000366
2018-03-08,274.1,0.004839
2018-03-09,278.87,0.017402
2018-03-12,278.52,-0.001255
2018-03-13,276.72,-0.006463
2018-03-14,275.3,-0.005132
2018-03-15,275,-0.00109
2018-03-16,274.2,0.001079
2018-03-19,270.49,-0.01353
2018-03-20,270.95,0.001701
2018-03-21,270.43,-0.001919
2018-03-22,263.67,-0.024997
2018-03-23,258.05,-0.021315
2018-03-26,265.11,0.027359
2018-03-27,260.6,-0.017012
2018-03-28,259.83,-0.002955
2018-03-29,263.15,0.012778
2018-04-02,257.47,-0.021585
2018-04-03,260.77,0.012817
2018-04-04,263.56,0.010699
2018-04-05,265.64,0.007892
2018-04-06,259.72,-0.022286
2018-04-09,261,0.004928
2018-04-10,265.15,0.0159
2018-04-11,263.76,-0.005242
2018-04-12,265.93,0.008227
2018-04-13,265.15,-0.002933
2018-04-16,267.33,0.008222
2018-04-17,270.19,0.010698
2018-04-18,270.39,0.00074
2018-04-19,268.89,-0.005548
2018-04-20,266.61,-0.008479
2018-04-23,266.57,-0.00015
2018-04-24,262.98,-0.013467
2018-04-25,263.63,0.002472
2018-04-26,266.31,0.010166
2018-04-27,266.56,0.000939
2018-04-30,264.51,-0.007691
2018-05-01,264.98,0.001777
2018-05-02,263.2,-0.006717
2018-05-03,262.62,-0.002204
2018-05-04,266.02,0.012946
2018-05-07,266.92,0.003383
2018-05-08,266.92,0
2018-05-09,269.5,0.009666
2018-05-10,272.02,0.009351
2018-05-11,272.85,0.003051
2018-05-14,272.98,0.000476
2018-05-15,271.1,-0.006887
2018-05-16,272.24,0.004205
2018-05-17,272.01,-0.000845
2018-05-18,271.33,-0.0025
2018-05-21,273.37,0.007519
2018-05-22,272.61,-0.00278
2018-05-23,273.36,0.002751
2018-05-24,272.8,-0.002049
2018-05-25,272.15,-0.002383
2018-05-29,269.02,-0.011501
2018-05-30,272.61,0.013345
2018-05-31,270.94,-0.006126
2018-06-01,273.6,0.009818
2018-06-04,274.9,0.004751
2018-06-05,275.1,0.000728
2018-06-06,277.4,0.008361
2018-06-07,277.37,-0.000108
2018-06-08,278.19,0.002956
2018-06-11,278.56,0.00133
2018-06-12,278.92,0.001292
2018-06-13,278.03,-0.003191
2018-06-14,278.73,0.002518
2018-06-15,277.13,-0.001272
2018-06-18,276.56,-0.002057
2018-06-19,275.5,-0.003833
2018-06-20,275.97,0.001706
2018-06-21,274.24,-0.006269
2018-06-22,274.74,0.001823
2018-06-25,271,-0.013613
2018-06-26,271.6,0.002214
2018-06-27,269.35,-0.008284
2018-06-28,270.89,0.005718
2018-06-29,271.28,0.00144
2018-07-02,271.86,0.002138
2018-07-03,270.9,-0.003531
2018-07-05,273.11,0.008158
2018-07-06,275.42,0.008458
2018-07-09,277.9,0.009004
2018-07-10,278.9,0.003598
2018-07-11,276.86,-0.007314
2018-07-12,279.37,0.009066
2018-07-13,279.59,0.000787
2018-07-16,279.34,-0.000894
2018-07-17,280.47,0.004045
2018-07-18,281.06,0.002104
2018-07-19,280,-0.003771
2018-07-20,279.68,-0.001143
2018-07-23,280.2,0.001859
2018-07-24,281.61,0.005032
2018-07-25,284.01,0.008523
2018-07-26,283.34,-0.002359
2018-07-27,281.42,-0.006776
2018-07-30,279.95,-0.005224
2018-07-31,281.33,0.004929
2018-08-01,280.86,-0.001671
2018-08-02,282.39,0.005448
2018-08-03,283.6,0.004285
2018-08-06,284.64,0.003667
2018-08-07,285.58,0.003302
2018-08-08,285.46,-0.00042
2018-08-09,285.07,-0.001366
2018-08-10,283.16,-0.0067
2018-08-13,282.1,-0.003743
2018-08-14,283.9,0.006381
2018-08-15,281.78,-0.007467
2018-08-16,284.06,0.008091
2018-08-17,285.06,0.00352
2018-08-20,285.67,0.00214
2018-08-21,286.34,0.002345
2018-08-22,286.17,-0.000594
2018-08-23,285.79,-0.001328
2018-08-24,287.51,0.006018
2018-08-27,289.78,0.007895
2018-08-28,289.92,0.000483
2018-08-29,291.48,0.005381
2018-08-30,290.3,-0.004048
2018-08-31,290.31,3.4e-05
2018-09-04,289.81,-0.001722
2018-09-05,289.03,-0.002691
2018-09-06,288.16,-0.00301
2018-09-07,287.6,-0.001943
2018-09-10,288.1,0.001739
2018-09-11,289.05,0.003297
2018-09-12,289.12,0.000242
2018-09-13,290.83,0.005914
2018-09-14,290.88,0.000172
2018-09-17,289.34,-0.005294
2018-09-18,290.91,0.005426
2018-09-19,291.22,0.001066
2018-09-20,293.58,0.008104
2018-09-21,291.99,-0.000911
2018-09-24,291.02,-0.003322
2018-09-25,290.75,-0.000928
2018-09-26,289.88,-0.002992
2018-09-27,290.69,0.002794
2018-09-28,290.72,0.000103
2018-10-01,291.73,0.003474
2018-10-02,291.56,-0.000583
2018-10-03,291.72,0.000549
2018-10-04,289.44,-0.007816
2018-10-05,287.82,-0.005597
2018-10-08,287.82,0
2018-10-09,287.4,-0.001459
2018-10-10,278.3,-0.031663
2018-10-11,272.17,-0.022027
2018-10-12,275.95,0.013888
2018-10-15,274.4,-0.005617
2018-10-16,280.4,0.021866
2018-10-17,280.45,0.000178
2018-10-18,276.4,-0.014441
2018-10-19,276.25,-0.000543
2018-10-22,275.01,-0.004489
2018-10-23,273.61,-0.005091
2018-10-24,265.32,-0.030299
2018-10-25,270.08,0.017941
2018-10-26,265.33,-0.017587
2018-10-29,263.86,-0.00554
2018-10-30,267.77,0.014818
2018-10-31,270.63,0.010681
2018-11-01,273.51,0.010642
2018-11-02,271.89,-0.005923
2018-11-05,273.39,0.005517
2018-11-06,275.12,0.006328
2018-11-07,281.01,0.021409
2018-11-08,280.5,-0.001815
2018-11-09,277.76,-0.009768
2018-11-12,272.57,-0.018685
2018-11-13,272.06,-0.001871
2018-11-14,270.2,-0.006837
2018-11-15,273.02,0.010437
2018-11-16,273.73,0.002601
2018-11-19,269.1,-0.016914
2018-11-20,264.12,-0.018506
2018-11-21,265.02,0.003408
2018-11-23,263.25,-0.006679
2018-11-26,267.5,0.016144
2018-11-27,268.4,0.003364
2018-11-28,274.58,0.023025
2018-11-29,273.98,-0.002185
2018-11-30,275.65,0.006095
2018-12-03,279.3,0.013241
2018-12-04,270.25,-0.032402
2018-12-06,269.84,-0.001517
2018-12-07,263.57,-0.023236
2018-12-10,264.07,0.001897
2018-12-11,264.13,0.000227
2018-12-12,265.46,0.005035
2018-12-13,265.37,-0.000339
2018-12-14,260.47,-0.018465
2018-12-17,255.36,-0.019618
2018-12-18,255.08,-0.001096
2018-12-19,251.26,-0.014976
2018-12-20,247.17,-0.016278
2018-12-21,240.7,-0.020369
2018-12-24,234.34,-0.026423
2018-12-26,246.18,0.050525
2018-12-27,248.07,0.007677
2018-12-28,247.75,-0.00129
2018-12-31,249.92,0.008759
2019-01-02,250.18,0.00104
2019-01-03,244.21,-0.023863
2019-01-04,252.39,0.033496
2019-01-07,254.38,0.007885
2019-01-08,256.77,0.009395
2019-01-09,257.97,0.004673
2019-01-10,258.88,0.003528
2019-01-11,258.98,0.000386
2019-01-14,257.4,-0.006101
2019-01-15,260.35,0.011461
2019-01-16,260.98,0.00242
2019-01-17,262.96,0.007587
2019-01-18,266.46,0.01331
2019-01-22,262.86,-0.01351
2019-01-23,263.41,0.002092
2019-01-24,263.55,0.000531
2019-01-25,265.78,0.008461
2019-01-28,263.76,-0.0076
2019-01-29,263.41,-0.001327
2019-01-30,267.58,0.015831
2019-01-31,269.93,0.008782
2019-02-01,270.06,0.000482
2019-02-04,271.96,0.007035
2019-02-05,273.1,0.004192
2019-02-06,272.74,-0.001318
2019-02-07,270.14,-0.009533
2019-02-08,270.47,0.001222
2019-02-11,270.62,0.000555
2019-02-12,274.1,0.012859
2019-02-13,274.99,0.003247
2019-02-14,274.38,-0.002218
2019-02-15,277.37,0.010897
2019-02-19,277.85,0.001731
2019-02-20,278.41,0.002015
2019-02-21,277.42,-0.003556
2019-02-22,279.14,0.0062
2019-02-25,279.52,0.001361
2019-02-26,279.32,-0.000715
2019-02-27,279.2,-0.00043
2019-02-28,278.68,-0.001863
2019-03-01,280.42,0.006244
2019-03-04,279.4,-0.003637
2019-03-05,279.02,-0.00136
2019-03-06,277.33,-0.006057
2019-03-07,275.01,-0.008365
2019-03-08,274.46,-0.002
2019-03-11,278.44,0.014501
2019-03-12,279.49,0.003771
2019-03-13,281.34,0.006619
2019-03-14,281.16,-0.00064
2019-03-15,281.31,0.004919
2019-03-18,282.33,0.003626
2019-03-19,282.4,0.000248
2019-03-20,281.55,-0.00301
2019-03-21,284.73,0.011295
2019-03-22,279.25,-0.019246
2019-03-25,279.04,-0.000752
2019-03-26,281.12,0.007454
2019-03-27,279.65,-0.005229
2019-03-28,280.71,0.00379
2019-03-29,282.48,0.006306
2019-04-01,285.83,0.011859
2019-04-02,285.97,0.00049
2019-04-03,286.42,0.001574
2019-04-04,287.18,0.002653
2019-04-05,288.57,0.00484
2019-04-08,288.79,0.000762
2019-04-09,287.31,-0.005125
2019-04-10,288.29,0.003411
2019-04-11,288.21,-0.000278
2019-04-12,290.16,0.006766
2019-04-15,289.97,-0.000655
2019-04-16,290.16,0.000655
2019-04-17,289.45,-0.002447
2019-04-18,290.02,0.001969
2019-04-22,290.27,0.000862
2019-04-23,292.88,0.008992
2019-04-24,292.23,-0.002219
2019-04-25,292.05,-0.000616
2019-04-26,293.41,0.004657
2019-04-29,293.87,0.001568
2019-04-30,294.02,0.00051
2019-05-01,291.81,-0.007516
2019-05-02,291.18,-0.002159
2019-05-03,294.03,0.009788
2019-05-06,292.82,-0.004115
2019-05-07,287.93,-0.0167
2019-05-08,287.53,-0.001389
2019-05-09,286.66,-0.003026
2019-05-10,288.1,0.005023
2019-05-13,280.86,-0.02513
2019-05-14,283.4,0.009044
2019-05-15,285.06,0.005857
2019-05-16,287.7,0.009261
2019-05-17,285.84,-0.006465
2019-05-20,283.95,-0.006612
2019-05-21,286.51,0.009016
2019-05-22,285.63,-0.003071
2019-05-23,282.14,-0.012219
2019-05-24,282.78,0.002268
2019-05-28,280.15,-0.009301
2019-05-29,278.27,-0.006711
2019-05-30,279.03,0.002731
2019-05-31,275.27,-0.013475
2019-06-03,274.57,-0.002543
2019-06-04,280.53,0.021707
2019-06-05,282.96,0.008662
2019-06-06,284.8,0.006503
2019-06-07,287.65,0.010007
2019-06-10,288.97,0.004589
2019-06-11,288.9,-0.000242
2019-06-12,288.39,-0.001765
2019-06-13,289.58,0.004126
2019-06-14,289.26,-0.001105
2019-06-17,289.37,0.00038
2019-06-18,292.4,0.010471
2019-06-19,293.06,0.002257
2019-06-20,295.86,0.009554
2019-06-21,294,-0.001448
2019-06-24,293.64,-0.001224
2019-06-25,290.76,-0.009808
2019-06-26,290.47,-0.000997
2019-06-27,291.5,0.003546
2019-06-28,293,0.005146
2019-07-01,295.66,0.009079
2019-07-02,296.43,0.002604
2019-07-03,298.8,0.007995
2019-07-05,298.46,-0.001138
2019-07-08,296.82,-0.005495
2019-07-09,297.19,0.001247
2019-07-10,298.61,0.004778
2019-07-11,299.31,0.002344
2019-07-12,300.65,0.004477
2019-07-15,300.75,0.000333
2019-07-16,299.71,-0.003458
2019-07-17,297.74,-0.006573
2019-07-18,298.83,0.003661
2019-07-19,297.17,-0.005555
2019-07-22,297.9,0.002456
2019-07-23,300.03,0.00715
2019-07-24,301.44,0.0047
2019-07-25,300,-0.004777
2019-07-26,302.01,0.0067
2019-07-29,301.46,-0.001821
2019-07-30,300.72,-0.002455
2019-07-31,297.43,-0.01094
2019-08-01,294.84,-0.008708
2019-08-02,292.62,-0.00753
2019-08-05,283.82,-0.030073
2019-08-06,287.8,0.014023
2019-08-07,287.97,0.000591
2019-08-08,293.62,0.01962
2019-08-09,291.62,-0.006812
2019-08-12,288.07,-0.012173
2019-08-13,292.55,0.015552
2019-08-14,283.9,-0.029568
2019-08-15,284.65,0.002642
2019-08-16,288.85,0.014755
2019-08-19,292.33,0.012048
2019-08-20,290.09,-0.007663
2019-08-21,292.45,0.008135
2019-08-22,292.36,-0.000308
2019-08-23,284.85,-0.025687
2019-08-26,288,0.011058
2019-08-27,286.87,-0.003924
2019-08-28,288.89,0.007042
2019-08-29,292.58,0.012773
2019-08-30,292.45,-0.000444
2019-09-03,290.74,-0.005847
2019-09-04,294.04,0.01135
2019-09-05,297.82,0.012855
2019-09-06,298.05,0.000772
2019-09-09,298.2,0.000503
2019-09-10,298.13,-0.000235
2019-09-11,300.25,0.007111
2019-09-12,301.29,0.003464
2019-09-13,301.09,-0.000664
2019-09-16,300.16,-0.003089
2019-09-17,300.92,0.002532
2019-09-18,301.1,0.000598
2019-09-19,301.08,-6.6e-05
2019-09-20,298.28,-0.004704
2019-09-23,298.21,-0.000235
2019-09-24,295.87,-0.007847
2019-09-25,297.62,0.005915
2019-09-26,297,-0.002083
2019-09-27,295.4,-0.005387
2019-09-30,296.77,0.004638
2019-10-01,293.24,-0.011895
2019-10-02,288.06,-0.017665
2019-10-03,290.42,0.008193
2019-10-04,294.35,0.013532
2019-10-07,293.08,-0.004315
2019-10-08,288.53,-0.015525
2019-10-09,291.27,0.009496
2019-10-10,293.24,0.006763
2019-10-11,296.28,0.010367
2019-10-14,295.95,-0.001114
2019-10-15,298.88,0.0099
2019-10-16,298.4,-0.001606
2019-10-17,299.28,0.002949
2019-10-18,297.97,-0.004377
2019-10-21,299.99,0.006779
2019-10-22,299.01,-0.003267
2019-10-23,299.88,0.00291
2019-10-24,300.37,0.001634
2019-10-25,301.6,0.004095
2019-10-28,303.3,0.005637
2019-10-29,303.21,-0.000297
2019-10-30,304.14,0.003067
2019-10-31,303.33,-0.002663
2019-11-01,306.14,0.009264
2019-11-04,307.37,0.004018
2019-11-05,307.03,-0.001106
2019-11-06,307.1,0.000228
2019-11-07,308.18,0.003517
2019-11-08,308.94,0.002466
2019-11-11,308.35,-0.00191
2019-11-12,309,0.002108
2019-11-13,309.1,0.000324
2019-11-14,309.55,0.001456
2019-11-15,311.79,0.007236
2019-11-18,312.02,0.000738
2019-11-19,311.93,-0.000288
2019-11-20,310.77,-0.003719
2019-11-21,310.27,-0.001609
2019-11-22,310.96,0.002224
2019-11-25,313.37,0.00775
2019-11-26,314.08,0.002266
2019-11-27,315.48,0.004458
2019-11-29,314.31,-0.003709
2019-12-02,311.64,-0.008495
2019-12-03,309.55,-0.006707
2019-12-04,311.46,0.00617
2019-12-05,312.02,0.001798
2019-12-06,314.87,0.009134
2019-12-09,313.88,-0.003144
2019-12-10,313.53,-0.001115
2019-12-11,314.42,0.002839
2019-12-12,317.13,0.008619
2019-12-13,317.32,0.000599
2019-12-16,319.5,0.00687
2019-12-17,319.57,0.000219
2019-12-18,319.59,6.3e-05
2019-12-19,320.9,0.004099
2019-12-20,320.73,0.004363
2019-12-23,321.22,0.001528
2019-12-24,321.23,3.1e-05
2019-12-26,322.94,0.005323
2019-12-27,322.86,-0.000248
2019-12-30,321.08,-0.005513
2019-12-31,321.86,0.002429
2020-01-02,324.87,0.009352
2020-01-03,322.41,-0.007572
2020-01-06,323.64,0.003815
2020-01-07,322.73,-0.002812
2020-01-08,324.45,0.00533
2020-01-09,326.65,0.006781
2020-01-10,325.71,-0.002878
2020-01-13,327.95,0.006877
2020-01-14,327.45,-0.001525
2020-01-15,328.19,0.00226
2020-01-16,330.92,0.008318
2020-01-17,331.95,0.003113
2020-01-21,331.3,-0.001958
2020-01-22,331.34,0.000121
2020-01-23,331.72,0.001147
2020-01-24,328.77,-0.008893
2020-01-27,323.5,-0.016029
2020-01-28,326.89,0.010479
2020-01-29,326.62,-0.000826
2020-01-30,327.68,0.003245
2020-01-31,321.73,-0.018158
2020-02-03,324.12,0.007429
2020-02-04,329.06,0.015241
2020-02-05,332.86,0.011548
2020-02-06,333.98,0.003365
2020-02-07,332.2,-0.00533
2020-02-10,334.68,0.007465
2020-02-11,335.26,0.001733
2020-02-12,337.42,0.006443
2020-02-13,337.06,-0.001067
2020-02-14,337.6,0.001602
2020-02-18,336.73,-0.002577
2020-02-19,338.34,0.004781
2020-02-20,336.95,-0.004108
2020-02-21,333.48,-0.010298
2020-02-24,322.42,-0.033165
2020-02-25,312.65,-0.030302
2020-02-26,311.5,-0.003678
2020-02-27,297.51,-0.044912
2020-02-28,296.26,-0.004202
2020-03-02,309.09,0.043307
2020-03-03,300.24,-0.028632
2020-03-04,312.86,0.042033
2020-03-05,302.46,-0.033242
2020-03-06,297.46,-0.016531
2020-03-09,274.23,-0.078094
2020-03-10,288.42,0.051745
2020-03-11,274.36,-0.048748
2020-03-12,248.11,-0.095677
2020-03-13,269.32,0.085486
2020-03-16,239.85,-0.109424
2020-03-17,252.8,0.053992
2020-03-18,240,-0.050633
2020-03-19,240.51,0.002125
2020-03-20,228.8,-0.042844
2020-03-23,222.95,-0.025568
2020-03-24,243.15,0.090603
2020-03-25,246.79,0.01497
2020-03-26,261.2,0.05839
2020-03-27,253.42,-0.029786
2020-03-30,261.65,0.032476
2020-03-31,257.75,-0.014905
2020-04-01,246.15,-0.045005
2020-04-02,251.83,0.023075
2020-04-03,248.19,-0.014454
2020-04-06,264.86,0.067166
2020-04-07,265.13,0.001019
2020-04-08,274.03,0.033568
2020-04-09,278.2,0.015217
2020-04-13,275.66,-0.00913
2020-04-14,283.79,0.029493
2020-04-15,277.76,-0.021248
2020-04-16,279.1,0.004824
2020-04-17,286.64,0.027015
2020-04-20,281.59,-0.017618
2020-04-21,273.04,-0.030363
2020-04-22,279.1,0.022195
2020-04-23,279.08,-7.2e-05
2020-04-24,282.97,0.013939
2020-04-27,287.05,0.014418
2020-04-28,285.73,-0.004598
2020-04-29,293.21,0.026178
2020-04-30,290.48,-0.009311
2020-05-01,282.79,-0.026473
2020-05-04,283.57,0.002758
2020-05-05,286.19,0.009239
2020-05-06,284.25,-0.006779
2020-05-07,287.68,0.012067
2020-05-08,292.44,0.016546
2020-05-11,292.5,0.000205
2020-05-12,286.67,-0.019932
2020-05-13,281.6,-0.017686
2020-05-14,284.97,0.011967
2020-05-15,286.28,0.004597
2020-05-18,295,0.03046
2020-05-19,291.97,-0.010271
2020-05-20,296.93,0.016988
2020-05-21,294.88,-0.006904
2020-05-22,295.44,0.001899
2020-05-26,299.08,0.012321
2020-05-27,303.53,0.014879
2020-05-28,302.97,-0.001845
2020-05-29,304.32,0.004456
2020-06-01,305.55,0.004042
2020-06-02,308.08,0.00828
2020-06-03,312.18,0.013308
2020-06-04,311.36,-0.002627
2020-06-05,319.34,0.02563
